Indicator,Year,Geography,FIPS,Age Group,Cases,Rate per 100000
Tuberculosis,2008,Alabama,1,15-24,15,2.2
Tuberculosis,2008,Alabama,1,25-34,23,3.8
Tuberculosis,2008,Alabama,1,35-44,21,3.3
Tuberculosis,2008,Alabama,1,45-54,32,4.7
Tuberculosis,2008,Alabama,1,55-64,27,4.9
Tuberculosis,2008,Alabama,1,65+,50,7.8
Tuberculosis,2009,Alabama,1,0-4,8,2.6
Tuberculosis,2009,Alabama,1,5-14,1,0.2
Tuberculosis,2009,Alabama,1,15-24,11,1.6
Tuberculosis,2009,Alabama,1,25-34,27,4.5
Tuberculosis,2009,Alabama,1,35-44,12,1.9
Tuberculosis,2009,Alabama,1,45-54,34,4.9
Tuberculosis,2009,Alabama,1,55-64,31,5.4
Tuberculosis,2009,Alabama,1,65+,44,6.8
Tuberculosis,2010,Alabama,1,0-4,6,2
Tuberculosis,2010,Alabama,1,5-14,2,0.3
Tuberculosis,2010,Alabama,1,15-24,7,1
Tuberculosis,2010,Alabama,1,25-34,13,2.1
Tuberculosis,2010,Alabama,1,35-44,27,4.4
Tuberculosis,2010,Alabama,1,45-54,27,3.9
Tuberculosis,2010,Alabama,1,55-64,23,3.9
Tuberculosis,2010,Alabama,1,65+,41,6.2
Tuberculosis,2011,Alabama,1,0-4,7,2.3
Tuberculosis,2011,Alabama,1,5-14,4,0.6
Tuberculosis,2011,Alabama,1,15-24,14,2.1
Tuberculosis,2011,Alabama,1,25-34,27,4.4
Tuberculosis,2011,Alabama,1,35-44,22,3.6
Tuberculosis,2011,Alabama,1,45-54,33,4.8
Tuberculosis,2011,Alabama,1,55-64,29,4.8
Tuberculosis,2011,Alabama,1,65+,25,3.7
Tuberculosis,2012,Alabama,1,0-4,4,1.3
Tuberculosis,2012,Alabama,1,5-14,0,0
Tuberculosis,2012,Alabama,1,15-24,14,2.1
Tuberculosis,2012,Alabama,1,25-34,20,3.2
Tuberculosis,2012,Alabama,1,35-44,13,2.1
Tuberculosis,2012,Alabama,1,45-54,18,2.7
Tuberculosis,2012,Alabama,1,55-64,20,3.3
Tuberculosis,2012,Alabama,1,65+,45,6.4
Tuberculosis,2013,Alabama,1,0-4,5,1.7
Tuberculosis,2013,Alabama,1,5-14,2,0.3
Tuberculosis,2013,Alabama,1,15-24,11,1.6
Tuberculosis,2013,Alabama,1,25-34,17,2.7
Tuberculosis,2013,Alabama,1,35-44,10,1.6
Tuberculosis,2013,Alabama,1,45-54,18,2.7
Tuberculosis,2013,Alabama,1,55-64,14,2.3
Tuberculosis,2013,Alabama,1,65+,31,4.3
Tuberculosis,2014,Alabama,1,0-4,5,1.7
Tuberculosis,2014,Alabama,1,5-14,3,0.5
Tuberculosis,2014,Alabama,1,15-24,8,1.2
Tuberculosis,2014,Alabama,1,25-34,18,2.9
Tuberculosis,2014,Alabama,1,35-44,20,3.3
Tuberculosis,2014,Alabama,1,45-54,18,2.7
Tuberculosis,2014,Alabama,1,55-64,29,4.6
Tuberculosis,2014,Alabama,1,65+,32,4.3
Tuberculosis,2015,Alabama,1,0-4,1,0.3
Tuberculosis,2015,Alabama,1,5-14,2,0.3
Tuberculosis,2015,Alabama,1,15-24,8,1.2
Tuberculosis,2015,Alabama,1,25-34,20,3.2
Tuberculosis,2015,Alabama,1,35-44,12,2
Tuberculosis,2015,Alabama,1,45-54,20,3.1
Tuberculosis,2015,Alabama,1,55-64,26,4.1
Tuberculosis,2015,Alabama,1,65+,30,3.9
Tuberculosis,2016,Alabama,1,0-4,3,1
Tuberculosis,2016,Alabama,1,5-14,1,0.2
Tuberculosis,2016,Alabama,1,15-24,6,0.9
Tuberculosis,2016,Alabama,1,25-34,17,2.7
Tuberculosis,2016,Alabama,1,35-44,21,3.5
Tuberculosis,2016,Alabama,1,45-54,18,2.8
Tuberculosis,2016,Alabama,1,55-64,21,3.3
Tuberculosis,2016,Alabama,1,65+,25,3.2
Tuberculosis,2017,Alabama,1,0-4,10,3.4
Tuberculosis,2017,Alabama,1,5-14,2,0.3
Tuberculosis,2017,Alabama,1,15-24,11,1.7
Tuberculosis,2017,Alabama,1,25-34,18,2.8
Tuberculosis,2017,Alabama,1,35-44,15,2.5
Tuberculosis,2017,Alabama,1,45-54,19,3
Tuberculosis,2017,Alabama,1,55-64,22,3.4
Tuberculosis,2017,Alabama,1,65+,23,2.9
Tuberculosis,2018,Alabama,1,0-4,5,1.7
Tuberculosis,2018,Alabama,1,5-14,1,0.2
Tuberculosis,2018,Alabama,1,15-24,9,1.4
Tuberculosis,2018,Alabama,1,25-34,12,1.9
Tuberculosis,2018,Alabama,1,35-44,18,3
Tuberculosis,2018,Alabama,1,45-54,4,0.6
Tuberculosis,2018,Alabama,1,55-64,14,2.1
Tuberculosis,2018,Alabama,1,65+,27,3.3
Tuberculosis,2019,Alabama,1,0-4,1,0.3
Tuberculosis,2019,Alabama,1,5-14,0,0
Tuberculosis,2019,Alabama,1,15-24,7,1.1
Tuberculosis,2019,Alabama,1,25-34,14,2.2
Tuberculosis,2019,Alabama,1,35-44,20,3.4
Tuberculosis,2019,Alabama,1,45-54,9,1.5
Tuberculosis,2019,Alabama,1,55-64,16,2.4
Tuberculosis,2019,Alabama,1,65+,20,2.3
Tuberculosis,2020 (COVID-19 Pandemic),Alabama,1,0-4,3,1
Tuberculosis,2020 (COVID-19 Pandemic),Alabama,1,5-14,1,0.2
Tuberculosis,2020 (COVID-19 Pandemic),Alabama,1,15-24,4,0.6
Tuberculosis,2020 (COVID-19 Pandemic),Alabama,1,25-34,14,2.1
Tuberculosis,2020 (COVID-19 Pandemic),Alabama,1,35-44,12,2
Tuberculosis,2020 (COVID-19 Pandemic),Alabama,1,45-54,5,0.8
Tuberculosis,2020 (COVID-19 Pandemic),Alabama,1,55-64,14,2.1
Tuberculosis,2020 (COVID-19 Pandemic),Alabama,1,65+,19,2.2
Tuberculosis,2021,Alabama,1,0-4,5,1.7
Tuberculosis,2021,Alabama,1,5-14,1,0.2
Tuberculosis,2021,Alabama,1,15-24,12,1.8
Tuberculosis,2021,Alabama,1,25-34,11,1.7
Tuberculosis,2021,Alabama,1,35-44,9,1.5
Tuberculosis,2021,Alabama,1,45-54,8,1.3
Tuberculosis,2021,Alabama,1,55-64,22,3.3
Tuberculosis,2021,Alabama,1,65+,23,2.6
Tuberculosis,2022,Alabama,1,0-4,1,0.3
Tuberculosis,2022,Alabama,1,5-14,1,0.2
Tuberculosis,2022,Alabama,1,15-24,8,1.2
Tuberculosis,2022,Alabama,1,25-34,11,1.7
Tuberculosis,2022,Alabama,1,35-44,7,1.1
Tuberculosis,2022,Alabama,1,45-54,10,1.6
Tuberculosis,2022,Alabama,1,55-64,12,1.8
Tuberculosis,2022,Alabama,1,65+,15,1.6
Tuberculosis,2000,Alaska,2,0-4,18,37.9
Tuberculosis,2000,Alaska,2,5-14,11,10
Tuberculosis,2000,Alaska,2,15-24,13,14.4
Tuberculosis,2000,Alaska,2,25-34,8,9
Tuberculosis,2000,Alaska,2,35-44,26,22.8
Tuberculosis,2000,Alaska,2,45-54,8,8.4
Tuberculosis,2000,Alaska,2,55-64,12,26.7
Tuberculosis,2000,Alaska,2,65+,12,33.2
Tuberculosis,2001,Alaska,2,0-4,1,2.1
Tuberculosis,2001,Alaska,2,5-14,4,3.7
Tuberculosis,2001,Alaska,2,15-24,3,3.2
Tuberculosis,2001,Alaska,2,25-34,7,8
Tuberculosis,2001,Alaska,2,35-44,10,9
Tuberculosis,2001,Alaska,2,45-54,9,9
Tuberculosis,2001,Alaska,2,55-64,9,18.9
Tuberculosis,2001,Alaska,2,65+,11,29.4
Tuberculosis,2002,Alaska,2,0-4,5,10.5
Tuberculosis,2002,Alaska,2,5-14,0,0
Tuberculosis,2002,Alaska,2,15-24,7,7.1
Tuberculosis,2002,Alaska,2,25-34,3,3.5
Tuberculosis,2002,Alaska,2,35-44,6,5.6
Tuberculosis,2002,Alaska,2,45-54,12,11.7
Tuberculosis,2002,Alaska,2,55-64,5,9.5
Tuberculosis,2002,Alaska,2,65+,11,28.3
Tuberculosis,2003,Alaska,2,0-4,5,10.5
Tuberculosis,2003,Alaska,2,5-14,2,1.9
Tuberculosis,2003,Alaska,2,15-24,8,7.9
Tuberculosis,2003,Alaska,2,25-34,3,3.5
Tuberculosis,2003,Alaska,2,35-44,15,14.4
Tuberculosis,2003,Alaska,2,45-54,9,8.5
Tuberculosis,2003,Alaska,2,55-64,7,12.4
Tuberculosis,2003,Alaska,2,65+,8,19.8
Tuberculosis,2004,Alaska,2,0-4,3,6.2
Tuberculosis,2004,Alaska,2,5-14,3,2.9
Tuberculosis,2004,Alaska,2,15-24,1,0.9
Tuberculosis,2004,Alaska,2,25-34,4,4.6
Tuberculosis,2004,Alaska,2,35-44,11,10.7
Tuberculosis,2004,Alaska,2,45-54,6,5.6
Tuberculosis,2004,Alaska,2,55-64,8,13.1
Tuberculosis,2004,Alaska,2,65+,7,16.6
Tuberculosis,2005,Alaska,2,0-4,4,8.2
Tuberculosis,2005,Alaska,2,5-14,3,2.9
Tuberculosis,2005,Alaska,2,15-24,5,4.6
Tuberculosis,2005,Alaska,2,25-34,9,10.2
Tuberculosis,2005,Alaska,2,35-44,6,6
Tuberculosis,2005,Alaska,2,45-54,15,13.7
Tuberculosis,2005,Alaska,2,55-64,10,15.3
Tuberculosis,2005,Alaska,2,65+,7,15.9
Tuberculosis,2006,Alaska,2,0-4,5,10.1
Tuberculosis,2006,Alaska,2,5-14,2,2
Tuberculosis,2006,Alaska,2,15-24,7,6.4
Tuberculosis,2006,Alaska,2,25-34,8,8.9
Tuberculosis,2006,Alaska,2,35-44,15,15.2
Tuberculosis,2006,Alaska,2,45-54,21,18.8
Tuberculosis,2006,Alaska,2,55-64,7,10
Tuberculosis,2006,Alaska,2,65+,5,11
Tuberculosis,2007,Alaska,2,0-4,3,6
Tuberculosis,2007,Alaska,2,5-14,1,1
Tuberculosis,2007,Alaska,2,15-24,4,3.7
Tuberculosis,2007,Alaska,2,25-34,3,3.3
Tuberculosis,2007,Alaska,2,35-44,4,4.1
Tuberculosis,2007,Alaska,2,45-54,17,15.2
Tuberculosis,2007,Alaska,2,55-64,6,8.1
Tuberculosis,2007,Alaska,2,65+,12,25.2
Tuberculosis,2008,Alaska,2,0-4,2,3.9
Tuberculosis,2008,Alaska,2,5-14,2,2
Tuberculosis,2008,Alaska,2,15-24,3,2.8
Tuberculosis,2008,Alaska,2,25-34,5,5.2
Tuberculosis,2008,Alaska,2,35-44,11,11.7
Tuberculosis,2008,Alaska,2,45-54,10,9
Tuberculosis,2008,Alaska,2,55-64,9,11.5
Tuberculosis,2008,Alaska,2,65+,8,15.9
Tuberculosis,2009,Alaska,2,0-4,1,1.9
Tuberculosis,2009,Alaska,2,5-14,1,1
Tuberculosis,2009,Alaska,2,15-24,3,2.8
Tuberculosis,2009,Alaska,2,25-34,2,2
Tuberculosis,2009,Alaska,2,35-44,7,7.6
Tuberculosis,2009,Alaska,2,45-54,7,6.2
Tuberculosis,2009,Alaska,2,55-64,8,9.6
Tuberculosis,2009,Alaska,2,65+,8,15.1
Tuberculosis,2010,Alaska,2,0-4,2,3.7
Tuberculosis,2010,Alaska,2,5-14,1,1
Tuberculosis,2010,Alaska,2,15-24,11,10.3
Tuberculosis,2010,Alaska,2,25-34,3,2.9
Tuberculosis,2010,Alaska,2,35-44,7,7.5
Tuberculosis,2010,Alaska,2,45-54,12,10.8
Tuberculosis,2010,Alaska,2,55-64,10,11.5
Tuberculosis,2010,Alaska,2,65+,11,19.8
Tuberculosis,2011,Alaska,2,0-4,4,7.2
Tuberculosis,2011,Alaska,2,5-14,2,2
Tuberculosis,2011,Alaska,2,15-24,6,5.6
Tuberculosis,2011,Alaska,2,25-34,10,9.2
Tuberculosis,2011,Alaska,2,35-44,9,9.8
Tuberculosis,2011,Alaska,2,45-54,15,13.8
Tuberculosis,2011,Alaska,2,55-64,14,15.5
Tuberculosis,2011,Alaska,2,65+,7,12
Tuberculosis,2012,Alaska,2,0-4,2,3.6
Tuberculosis,2012,Alaska,2,5-14,7,6.8
Tuberculosis,2012,Alaska,2,15-24,10,9.2
Tuberculosis,2012,Alaska,2,25-34,8,7.2
Tuberculosis,2012,Alaska,2,35-44,9,9.7
Tuberculosis,2012,Alaska,2,45-54,15,14.2
Tuberculosis,2012,Alaska,2,55-64,8,8.6
Tuberculosis,2012,Alaska,2,65+,6,9.6
Tuberculosis,2013,Alaska,2,0-4,6,10.8
Tuberculosis,2013,Alaska,2,5-14,4,3.9
Tuberculosis,2013,Alaska,2,15-24,11,10
Tuberculosis,2013,Alaska,2,25-34,6,5.2
Tuberculosis,2013,Alaska,2,35-44,11,11.9
Tuberculosis,2013,Alaska,2,45-54,14,13.7
Tuberculosis,2013,Alaska,2,55-64,8,8.5
Tuberculosis,2013,Alaska,2,65+,11,16.6
Tuberculosis,2014,Alaska,2,0-4,0,0
Tuberculosis,2014,Alaska,2,5-14,2,2
Tuberculosis,2014,Alaska,2,15-24,7,6.5
Tuberculosis,2014,Alaska,2,25-34,7,6
Tuberculosis,2014,Alaska,2,35-44,7,7.7
Tuberculosis,2014,Alaska,2,45-54,12,12.1
Tuberculosis,2014,Alaska,2,55-64,16,17
Tuberculosis,2014,Alaska,2,65+,11,15.7
Tuberculosis,2015,Alaska,2,0-4,4,7.2
Tuberculosis,2015,Alaska,2,5-14,9,8.9
Tuberculosis,2015,Alaska,2,15-24,4,3.7
Tuberculosis,2015,Alaska,2,25-34,7,5.9
Tuberculosis,2015,Alaska,2,35-44,7,7.7
Tuberculosis,2015,Alaska,2,45-54,14,14.5
Tuberculosis,2015,Alaska,2,55-64,12,12.6
Tuberculosis,2015,Alaska,2,65+,11,14.9
Tuberculosis,2016,Alaska,2,0-4,2,3.6
Tuberculosis,2016,Alaska,2,5-14,5,4.9
Tuberculosis,2016,Alaska,2,15-24,4,3.8
Tuberculosis,2016,Alaska,2,25-34,9,7.4
Tuberculosis,2016,Alaska,2,35-44,5,5.4
Tuberculosis,2016,Alaska,2,45-54,15,16
Tuberculosis,2016,Alaska,2,55-64,9,9.4
Tuberculosis,2016,Alaska,2,65+,8,10.2
Tuberculosis,2017,Alaska,2,0-4,3,5.5
Tuberculosis,2017,Alaska,2,5-14,4,3.9
Tuberculosis,2017,Alaska,2,15-24,9,8.9
Tuberculosis,2017,Alaska,2,25-34,4,3.3
Tuberculosis,2017,Alaska,2,35-44,4,4.3
Tuberculosis,2017,Alaska,2,45-54,9,9.9
Tuberculosis,2017,Alaska,2,55-64,7,7.3
Tuberculosis,2017,Alaska,2,65+,13,15.7
Tuberculosis,2018,Alaska,2,0-4,6,11.4
Tuberculosis,2018,Alaska,2,5-14,8,7.9
Tuberculosis,2018,Alaska,2,15-24,5,5.1
Tuberculosis,2018,Alaska,2,25-34,18,15.1
Tuberculosis,2018,Alaska,2,35-44,4,4.2
Tuberculosis,2018,Alaska,2,45-54,9,10.2
Tuberculosis,2018,Alaska,2,55-64,9,9.5
Tuberculosis,2018,Alaska,2,65+,4,4.6
Tuberculosis,2019,Alaska,2,0-4,5,9.8
Tuberculosis,2019,Alaska,2,5-14,3,3
Tuberculosis,2019,Alaska,2,15-24,8,8.3
Tuberculosis,2019,Alaska,2,25-34,8,6.8
Tuberculosis,2019,Alaska,2,35-44,7,7.3
Tuberculosis,2019,Alaska,2,45-54,10,11.7
Tuberculosis,2019,Alaska,2,55-64,8,8.6
Tuberculosis,2019,Alaska,2,65+,9,9.8
Tuberculosis,2020 (COVID-19 Pandemic),Alaska,2,0-4,3,6.1
Tuberculosis,2020 (COVID-19 Pandemic),Alaska,2,5-14,8,7.9
Tuberculosis,2020 (COVID-19 Pandemic),Alaska,2,15-24,7,7.2
Tuberculosis,2020 (COVID-19 Pandemic),Alaska,2,25-34,8,7
Tuberculosis,2020 (COVID-19 Pandemic),Alaska,2,35-44,8,8.1
Tuberculosis,2020 (COVID-19 Pandemic),Alaska,2,45-54,4,4.7
Tuberculosis,2020 (COVID-19 Pandemic),Alaska,2,55-64,10,10.9
Tuberculosis,2020 (COVID-19 Pandemic),Alaska,2,65+,10,10.6
Tuberculosis,2021,Alaska,2,0-4,7,14.6
Tuberculosis,2021,Alaska,2,5-14,5,4.9
Tuberculosis,2021,Alaska,2,15-24,2,2
Tuberculosis,2021,Alaska,2,25-34,11,9.7
Tuberculosis,2021,Alaska,2,35-44,9,8.8
Tuberculosis,2021,Alaska,2,45-54,8,9.6
Tuberculosis,2021,Alaska,2,55-64,8,8.9
Tuberculosis,2021,Alaska,2,65+,8,8.1
Tuberculosis,2022,Alaska,2,0-4,11,23.5
Tuberculosis,2022,Alaska,2,5-14,16,15.9
Tuberculosis,2022,Alaska,2,15-24,11,11.3
Tuberculosis,2022,Alaska,2,25-34,10,8.8
Tuberculosis,2022,Alaska,2,35-44,9,8.7
Tuberculosis,2022,Alaska,2,45-54,6,7.2
Tuberculosis,2022,Alaska,2,55-64,16,18.3
Tuberculosis,2022,Alaska,2,65+,16,15.7
Tuberculosis,2000,Arizona,4,0-4,12,3.1
Tuberculosis,2000,Arizona,4,5-14,6,0.8
Tuberculosis,2000,Arizona,4,15-24,33,4.5
Tuberculosis,2000,Arizona,4,25-34,43,5.8
Tuberculosis,2000,Arizona,4,35-44,48,6.2
Tuberculosis,2000,Arizona,4,45-54,43,6.8
Tuberculosis,2000,Arizona,4,55-64,22,4.9
Tuberculosis,2000,Arizona,4,65+,54,8
Tuberculosis,2001,Arizona,4,0-4,14,3.6
Tuberculosis,2001,Arizona,4,5-14,9,1.2
Tuberculosis,2001,Arizona,4,15-24,40,5.3
Tuberculosis,2001,Arizona,4,25-34,44,5.9
Tuberculosis,2001,Arizona,4,35-44,46,5.9
Tuberculosis,2001,Arizona,4,45-54,48,7.2
Tuberculosis,2001,Arizona,4,55-64,31,6.7
Tuberculosis,2001,Arizona,4,65+,57,8.3
Tuberculosis,2002,Arizona,4,0-4,9,2.2
Tuberculosis,2002,Arizona,4,5-14,12,1.5
Tuberculosis,2002,Arizona,4,15-24,26,3.3
Tuberculosis,2002,Arizona,4,25-34,45,5.9
Tuberculosis,2002,Arizona,4,35-44,41,5.2
Tuberculosis,2002,Arizona,4,45-54,40,5.9
Tuberculosis,2002,Arizona,4,55-64,31,6.2
Tuberculosis,2002,Arizona,4,65+,59,8.5
Tuberculosis,2003,Arizona,4,0-4,30,7.2
Tuberculosis,2003,Arizona,4,5-14,15,1.9
Tuberculosis,2003,Arizona,4,15-24,31,3.9
Tuberculosis,2003,Arizona,4,25-34,48,6.2
Tuberculosis,2003,Arizona,4,35-44,41,5.2
Tuberculosis,2003,Arizona,4,45-54,34,4.8
Tuberculosis,2003,Arizona,4,55-64,35,6.6
Tuberculosis,2003,Arizona,4,65+,61,8.6
Tuberculosis,2004,Arizona,4,0-4,21,4.9
Tuberculosis,2004,Arizona,4,5-14,11,1.4
Tuberculosis,2004,Arizona,4,15-24,26,3.2
Tuberculosis,2004,Arizona,4,25-34,43,5.5
Tuberculosis,2004,Arizona,4,35-44,61,7.7
Tuberculosis,2004,Arizona,4,45-54,39,5.4
Tuberculosis,2004,Arizona,4,55-64,28,5
Tuberculosis,2004,Arizona,4,65+,43,5.9
Tuberculosis,2005,Arizona,4,0-4,22,4.9
Tuberculosis,2005,Arizona,4,5-14,15,1.8
Tuberculosis,2005,Arizona,4,15-24,25,3
Tuberculosis,2005,Arizona,4,25-34,44,5.4
Tuberculosis,2005,Arizona,4,35-44,52,6.4
Tuberculosis,2005,Arizona,4,45-54,49,6.5
Tuberculosis,2005,Arizona,4,55-64,28,4.7
Tuberculosis,2005,Arizona,4,65+,46,6.1
Tuberculosis,2006,Arizona,4,0-4,25,5.4
Tuberculosis,2006,Arizona,4,5-14,16,1.9
Tuberculosis,2006,Arizona,4,15-24,31,3.6
Tuberculosis,2006,Arizona,4,25-34,59,7
Tuberculosis,2006,Arizona,4,35-44,47,5.7
Tuberculosis,2006,Arizona,4,45-54,43,5.5
Tuberculosis,2006,Arizona,4,55-64,38,6
Tuberculosis,2006,Arizona,4,65+,54,6.9
Tuberculosis,2007,Arizona,4,0-4,16,3.4
Tuberculosis,2007,Arizona,4,5-14,8,0.9
Tuberculosis,2007,Arizona,4,15-24,37,4.2
Tuberculosis,2007,Arizona,4,25-34,49,5.8
Tuberculosis,2007,Arizona,4,35-44,51,6.1
Tuberculosis,2007,Arizona,4,45-54,42,5.2
Tuberculosis,2007,Arizona,4,55-64,33,5
Tuberculosis,2007,Arizona,4,65+,66,8.2
Tuberculosis,2008,Arizona,4,0-4,19,4
Tuberculosis,2008,Arizona,4,5-14,10,1.1
Tuberculosis,2008,Arizona,4,15-24,25,2.8
Tuberculosis,2008,Arizona,4,25-34,47,5.5
Tuberculosis,2008,Arizona,4,35-44,32,3.8
Tuberculosis,2008,Arizona,4,45-54,30,3.6
Tuberculosis,2008,Arizona,4,55-64,21,3.1
Tuberculosis,2008,Arizona,4,65+,43,5.2
Tuberculosis,2009,Arizona,4,0-4,15,3.2
Tuberculosis,2009,Arizona,4,5-14,1,0.1
Tuberculosis,2009,Arizona,4,15-24,28,3.1
Tuberculosis,2009,Arizona,4,25-34,50,5.8
Tuberculosis,2009,Arizona,4,35-44,32,3.9
Tuberculosis,2009,Arizona,4,45-54,34,4.1
Tuberculosis,2009,Arizona,4,55-64,26,3.7
Tuberculosis,2009,Arizona,4,65+,46,5.3
Tuberculosis,2010,Arizona,4,0-4,10,2.2
Tuberculosis,2010,Arizona,4,5-14,8,0.9
Tuberculosis,2010,Arizona,4,15-24,26,2.9
Tuberculosis,2010,Arizona,4,25-34,60,7
Tuberculosis,2010,Arizona,4,35-44,53,6.4
Tuberculosis,2010,Arizona,4,45-54,49,5.8
Tuberculosis,2010,Arizona,4,55-64,34,4.6
Tuberculosis,2010,Arizona,4,65+,42,4.7
Tuberculosis,2011,Arizona,4,0-4,8,1.8
Tuberculosis,2011,Arizona,4,5-14,5,0.6
Tuberculosis,2011,Arizona,4,15-24,27,2.9
Tuberculosis,2011,Arizona,4,25-34,54,6.2
Tuberculosis,2011,Arizona,4,35-44,41,5
Tuberculosis,2011,Arizona,4,45-54,27,3.2
Tuberculosis,2011,Arizona,4,55-64,31,4.1
Tuberculosis,2011,Arizona,4,65+,62,6.7
Tuberculosis,2012,Arizona,4,0-4,3,0.7
Tuberculosis,2012,Arizona,4,5-14,7,0.8
Tuberculosis,2012,Arizona,4,15-24,31,3.3
Tuberculosis,2012,Arizona,4,25-34,53,6
Tuberculosis,2012,Arizona,4,35-44,31,3.7
Tuberculosis,2012,Arizona,4,45-54,34,4.1
Tuberculosis,2012,Arizona,4,55-64,15,2
Tuberculosis,2012,Arizona,4,65+,37,3.8
Tuberculosis,2013,Arizona,4,0-4,3,0.7
Tuberculosis,2013,Arizona,4,5-14,4,0.4
Tuberculosis,2013,Arizona,4,15-24,31,3.3
Tuberculosis,2013,Arizona,4,25-34,32,3.6
Tuberculosis,2013,Arizona,4,35-44,28,3.4
Tuberculosis,2013,Arizona,4,45-54,28,3.3
Tuberculosis,2013,Arizona,4,55-64,17,2.2
Tuberculosis,2013,Arizona,4,65+,41,4
Tuberculosis,2014,Arizona,4,0-4,7,1.6
Tuberculosis,2014,Arizona,4,5-14,6,0.7
Tuberculosis,2014,Arizona,4,15-24,32,3.4
Tuberculosis,2014,Arizona,4,25-34,34,3.8
Tuberculosis,2014,Arizona,4,35-44,30,3.6
Tuberculosis,2014,Arizona,4,45-54,25,3
Tuberculosis,2014,Arizona,4,55-64,17,2.1
Tuberculosis,2014,Arizona,4,65+,42,4
Tuberculosis,2015,Arizona,4,0-4,8,1.8
Tuberculosis,2015,Arizona,4,5-14,6,0.7
Tuberculosis,2015,Arizona,4,15-24,24,2.5
Tuberculosis,2015,Arizona,4,25-34,25,2.7
Tuberculosis,2015,Arizona,4,35-44,31,3.7
Tuberculosis,2015,Arizona,4,45-54,27,3.2
Tuberculosis,2015,Arizona,4,55-64,30,3.7
Tuberculosis,2015,Arizona,4,65+,47,4.2
