Indicator,Year,Geography,FIPS,Sex,Cases,Rate per 100000
Tuberculosis,2011,Alaska,2,Female,25,7.2
Tuberculosis,2011,Alaska,2,Male,42,11.2
Tuberculosis,2012,Alaska,2,Female,31,8.9
Tuberculosis,2012,Alaska,2,Male,34,8.9
Tuberculosis,2013,Alaska,2,Female,24,6.8
Tuberculosis,2013,Alaska,2,Male,47,12.2
Tuberculosis,2014,Alaska,2,Female,21,6
Tuberculosis,2014,Alaska,2,Male,41,10.6
Tuberculosis,2015,Alaska,2,Female,24,6.8
Tuberculosis,2015,Alaska,2,Male,44,11.4
Tuberculosis,2016,Alaska,2,Female,27,7.6
Tuberculosis,2016,Alaska,2,Male,30,7.7
Tuberculosis,2017,Alaska,2,Female,23,6.5
Tuberculosis,2017,Alaska,2,Male,30,7.8
Tuberculosis,2018,Alaska,2,Female,17,4.8
Tuberculosis,2018,Alaska,2,Male,46,12
Tuberculosis,2019,Alaska,2,Female,18,5.1
Tuberculosis,2019,Alaska,2,Male,40,10.4
Tuberculosis,2020 (COVID-19 Pandemic),Alaska,2,Female,13,3.7
Tuberculosis,2020 (COVID-19 Pandemic),Alaska,2,Male,45,11.7
Tuberculosis,2021,Alaska,2,Female,25,7.2
Tuberculosis,2021,Alaska,2,Male,33,8.5
Tuberculosis,2022,Alaska,2,Female,48,13.8
Tuberculosis,2022,Alaska,2,Male,47,12.2
Tuberculosis,2000,Arizona,4,Female,83,3.2
Tuberculosis,2000,Arizona,4,Male,178,6.9
Tuberculosis,2001,Arizona,4,Female,97,3.7
Tuberculosis,2001,Arizona,4,Male,192,7.3
Tuberculosis,2002,Arizona,4,Female,93,3.4
Tuberculosis,2002,Arizona,4,Male,170,6.3
Tuberculosis,2003,Arizona,4,Female,107,3.9
Tuberculosis,2003,Arizona,4,Male,188,6.8
Tuberculosis,2004,Arizona,4,Female,87,3.1
Tuberculosis,2004,Arizona,4,Male,185,6.6
Tuberculosis,2005,Arizona,4,Female,99,3.4
Tuberculosis,2005,Arizona,4,Male,182,6.3
Tuberculosis,2006,Arizona,4,Female,103,3.4
Tuberculosis,2006,Arizona,4,Male,210,7
Tuberculosis,2007,Arizona,4,Female,112,3.6
Tuberculosis,2007,Arizona,4,Male,190,6.2
Tuberculosis,2008,Arizona,4,Female,72,2.3
Tuberculosis,2008,Arizona,4,Male,155,5
Tuberculosis,2009,Arizona,4,Female,86,2.7
Tuberculosis,2009,Arizona,4,Male,146,4.6
Tuberculosis,2010,Arizona,4,Female,94,2.9
Tuberculosis,2010,Arizona,4,Male,188,5.9
Tuberculosis,2011,Arizona,4,Female,85,2.6
Tuberculosis,2011,Arizona,4,Male,170,5.3
Tuberculosis,2012,Arizona,4,Female,66,2
Tuberculosis,2012,Arizona,4,Male,145,4.4
Tuberculosis,2013,Arizona,4,Female,61,1.8
Tuberculosis,2013,Arizona,4,Male,123,3.7
Tuberculosis,2014,Arizona,4,Female,59,1.7
Tuberculosis,2014,Arizona,4,Male,134,4
Tuberculosis,2015,Arizona,4,Female,59,1.7
Tuberculosis,2015,Arizona,4,Male,139,4.1
Tuberculosis,2016,Arizona,4,Female,67,1.9
Tuberculosis,2016,Arizona,4,Male,121,3.5
Tuberculosis,2017,Arizona,4,Female,66,1.9
Tuberculosis,2017,Arizona,4,Male,122,3.5
Tuberculosis,2018,Arizona,4,Female,63,1.7
Tuberculosis,2018,Arizona,4,Male,115,3.2
Tuberculosis,2019,Arizona,4,Female,64,1.7
Tuberculosis,2019,Arizona,4,Male,119,3.3
Tuberculosis,2020 (COVID-19 Pandemic),Arizona,4,Female,55,1.5
Tuberculosis,2020 (COVID-19 Pandemic),Arizona,4,Male,81,2.3
Tuberculosis,2021,Arizona,4,Female,53,1.5
Tuberculosis,2021,Arizona,4,Male,76,2.1
Tuberculosis,2022,Arizona,4,Female,59,1.6
Tuberculosis,2022,Arizona,4,Male,95,2.6
Tuberculosis,2000,Arkansas,5,Female,70,5.1
Tuberculosis,2000,Arkansas,5,Male,129,9.9
Tuberculosis,2001,Arkansas,5,Female,48,3.5
Tuberculosis,2001,Arkansas,5,Male,114,8.7
Tuberculosis,2002,Arkansas,5,Female,47,3.4
Tuberculosis,2002,Arkansas,5,Male,89,6.7
Tuberculosis,2003,Arkansas,5,Female,48,3.4
Tuberculosis,2003,Arkansas,5,Male,80,6
Tuberculosis,2004,Arkansas,5,Female,43,3.1
Tuberculosis,2004,Arkansas,5,Male,84,6.2
Tuberculosis,2005,Arkansas,5,Female,50,3.5
Tuberculosis,2005,Arkansas,5,Male,67,4.9
Tuberculosis,2006,Arkansas,5,Female,32,2.2
Tuberculosis,2006,Arkansas,5,Male,70,5.1
Tuberculosis,2007,Arkansas,5,Female,43,3
Tuberculosis,2007,Arkansas,5,Male,63,4.5
Tuberculosis,2008,Arkansas,5,Female,35,2.4
Tuberculosis,2008,Arkansas,5,Male,48,3.4
Tuberculosis,2009,Arkansas,5,Female,32,2.2
Tuberculosis,2009,Arkansas,5,Male,50,3.5
Tuberculosis,2010,Arkansas,5,Female,28,1.9
Tuberculosis,2010,Arkansas,5,Male,50,3.5
Tuberculosis,2011,Arkansas,5,Female,25,1.7
Tuberculosis,2011,Arkansas,5,Male,60,4.2
Tuberculosis,2012,Arkansas,5,Female,26,1.7
Tuberculosis,2012,Arkansas,5,Male,44,3
Tuberculosis,2013,Arkansas,5,Female,26,1.7
Tuberculosis,2013,Arkansas,5,Male,46,3.2
Tuberculosis,2014,Arkansas,5,Female,39,2.6
Tuberculosis,2014,Arkansas,5,Male,54,3.7
Tuberculosis,2015,Arkansas,5,Female,27,1.8
Tuberculosis,2015,Arkansas,5,Male,63,4.3
Tuberculosis,2016,Arkansas,5,Female,40,2.6
Tuberculosis,2016,Arkansas,5,Male,51,3.5
Tuberculosis,2017,Arkansas,5,Female,35,2.3
Tuberculosis,2017,Arkansas,5,Male,50,3.4
Tuberculosis,2018,Arkansas,5,Female,28,1.8
Tuberculosis,2018,Arkansas,5,Male,48,3.2
Tuberculosis,2019,Arkansas,5,Female,15,1
Tuberculosis,2019,Arkansas,5,Male,49,3.3
Tuberculosis,2020 (COVID-19 Pandemic),Arkansas,5,Female,18,1.2
Tuberculosis,2020 (COVID-19 Pandemic),Arkansas,5,Male,41,2.8
Tuberculosis,2021,Arkansas,5,Female,29,1.9
Tuberculosis,2021,Arkansas,5,Male,40,2.7
Tuberculosis,2022,Arkansas,5,Female,20,1.3
Tuberculosis,2022,Arkansas,5,Male,48,3.2
Tuberculosis,2000,California,6,Female,"1,316",7.7
Tuberculosis,2000,California,6,Male,"1,972",11.6
Tuberculosis,2001,California,6,Female,"1,300",7.5
Tuberculosis,2001,California,6,Male,"2,029",11.8
Tuberculosis,2002,California,6,Female,"1,283",7.3
Tuberculosis,2002,California,6,Male,"1,889",10.9
Tuberculosis,2003,California,6,Female,"1,345",7.6
Tuberculosis,2003,California,6,Male,"1,873",10.7
Tuberculosis,2004,California,6,Female,"1,205",6.7
Tuberculosis,2004,California,6,Male,"1,785",10.1
Tuberculosis,2005,California,6,Female,"1,150",6.4
Tuberculosis,2005,California,6,Male,"1,747",9.8
Tuberculosis,2006,California,6,Female,"1,110",6.1
Tuberculosis,2006,California,6,Male,"1,666",9.3
Tuberculosis,2007,California,6,Female,"1,073",5.9
Tuberculosis,2007,California,6,Male,"1,649",9.1
Tuberculosis,2008,California,6,Female,"1,041",5.7
Tuberculosis,2008,California,6,Male,"1,654",9.1
Tuberculosis,2009,California,6,Female,967,5.2
Tuberculosis,2009,California,6,Male,"1,498",8.2
Tuberculosis,2010,California,6,Female,949,5.1
Tuberculosis,2010,California,6,Male,"1,374",7.4
Tuberculosis,2011,California,6,Female,941,5
Tuberculosis,2011,California,6,Male,"1,379",7.4
Tuberculosis,2012,California,6,Female,892,4.7
Tuberculosis,2012,California,6,Male,"1,293",6.9
Tuberculosis,2013,California,6,Female,843,4.4
Tuberculosis,2013,California,6,Male,"1,320",6.9
Tuberculosis,2014,California,6,Female,842,4.3
Tuberculosis,2014,California,6,Male,"1,288",6.7
Tuberculosis,2015,California,6,Female,882,4.5
Tuberculosis,2015,California,6,Male,"1,249",6.5
Tuberculosis,2016,California,6,Female,779,4
Tuberculosis,2016,California,6,Male,"1,280",6.6
Tuberculosis,2017,California,6,Female,781,3.9
Tuberculosis,2017,California,6,Male,"1,276",6.5
Tuberculosis,2018,California,6,Female,819,4.1
Tuberculosis,2018,California,6,Male,"1,277",6.5
Tuberculosis,2019,California,6,Female,829,4.2
Tuberculosis,2019,California,6,Male,"1,281",6.5
Tuberculosis,2020 (COVID-19 Pandemic),California,6,Female,696,3.5
Tuberculosis,2020 (COVID-19 Pandemic),California,6,Male,"1,008",5.1
Tuberculosis,2021,California,6,Female,651,3.3
Tuberculosis,2021,California,6,Male,"1,098",5.6
Tuberculosis,2022,California,6,Female,672,3.4
Tuberculosis,2022,California,6,Male,"1,146",5.9
Tuberculosis,2000,Colorado,8,Female,38,1.8
Tuberculosis,2000,Colorado,8,Male,59,2.7
Tuberculosis,2001,Colorado,8,Female,61,2.8
Tuberculosis,2001,Colorado,8,Male,77,3.5
Tuberculosis,2002,Colorado,8,Female,44,2
Tuberculosis,2002,Colorado,8,Male,59,2.6
Tuberculosis,2003,Colorado,8,Female,48,2.1
Tuberculosis,2003,Colorado,8,Male,63,2.8
Tuberculosis,2004,Colorado,8,Female,44,1.9
Tuberculosis,2004,Colorado,8,Male,84,3.7
Tuberculosis,2005,Colorado,8,Female,39,1.7
Tuberculosis,2005,Colorado,8,Male,62,2.7
Tuberculosis,2006,Colorado,8,Female,58,2.5
Tuberculosis,2006,Colorado,8,Male,66,2.8
Tuberculosis,2007,Colorado,8,Female,42,1.8
Tuberculosis,2007,Colorado,8,Male,69,2.9
Tuberculosis,2008,Colorado,8,Female,39,1.6
Tuberculosis,2008,Colorado,8,Male,64,2.6
Tuberculosis,2009,Colorado,8,Female,41,1.7
Tuberculosis,2009,Colorado,8,Male,44,1.8
Tuberculosis,2010,Colorado,8,Female,29,1.2
Tuberculosis,2010,Colorado,8,Male,42,1.7
Tuberculosis,2011,Colorado,8,Female,33,1.3
Tuberculosis,2011,Colorado,8,Male,37,1.4
Tuberculosis,2012,Colorado,8,Female,30,1.2
Tuberculosis,2012,Colorado,8,Male,34,1.3
Tuberculosis,2013,Colorado,8,Female,31,1.2
Tuberculosis,2013,Colorado,8,Male,43,1.6
Tuberculosis,2014,Colorado,8,Female,31,1.2
Tuberculosis,2014,Colorado,8,Male,33,1.2
Tuberculosis,2015,Colorado,8,Female,30,1.1
Tuberculosis,2015,Colorado,8,Male,43,1.6
Tuberculosis,2016,Colorado,8,Female,30,1.1
Tuberculosis,2016,Colorado,8,Male,34,1.2
Tuberculosis,2017,Colorado,8,Female,38,1.4
Tuberculosis,2017,Colorado,8,Male,46,1.6
Tuberculosis,2018,Colorado,8,Female,35,1.2
Tuberculosis,2018,Colorado,8,Male,29,1
Tuberculosis,2019,Colorado,8,Female,38,1.3
Tuberculosis,2019,Colorado,8,Male,28,1
Tuberculosis,2020 (COVID-19 Pandemic),Colorado,8,Female,20,0.7
Tuberculosis,2020 (COVID-19 Pandemic),Colorado,8,Male,32,1.1
Tuberculosis,2021,Colorado,8,Female,21,0.7
Tuberculosis,2021,Colorado,8,Male,37,1.3
Tuberculosis,2022,Colorado,8,Female,28,1
Tuberculosis,2022,Colorado,8,Male,29,1
Tuberculosis,2000,Connecticut,9,Female,47,2.7
Tuberculosis,2000,Connecticut,9,Male,58,3.5
Tuberculosis,2001,Connecticut,9,Female,44,2.5
Tuberculosis,2001,Connecticut,9,Male,77,4.6
Tuberculosis,2002,Connecticut,9,Female,50,2.8
Tuberculosis,2002,Connecticut,9,Male,55,3.3
Tuberculosis,2003,Connecticut,9,Female,53,3
Tuberculosis,2003,Connecticut,9,Male,58,3.4
Tuberculosis,2004,Connecticut,9,Female,35,1.9
Tuberculosis,2004,Connecticut,9,Male,66,3.9
Tuberculosis,2005,Connecticut,9,Female,45,2.5
Tuberculosis,2005,Connecticut,9,Male,51,3
Tuberculosis,2006,Connecticut,9,Female,39,2.2
Tuberculosis,2006,Connecticut,9,Male,50,2.9
Tuberculosis,2007,Connecticut,9,Female,50,2.8
Tuberculosis,2007,Connecticut,9,Male,58,3.4
Tuberculosis,2008,Connecticut,9,Female,37,2
Tuberculosis,2008,Connecticut,9,Male,61,3.5
Tuberculosis,2009,Connecticut,9,Female,50,2.7
Tuberculosis,2009,Connecticut,9,Male,45,2.6
Tuberculosis,2010,Connecticut,9,Female,41,2.2
Tuberculosis,2010,Connecticut,9,Male,44,2.5
Tuberculosis,2011,Connecticut,9,Female,43,2.3
Tuberculosis,2011,Connecticut,9,Male,40,2.3
Tuberculosis,2012,Connecticut,9,Female,32,1.7
Tuberculosis,2012,Connecticut,9,Male,42,2.4
Tuberculosis,2013,Connecticut,9,Female,27,1.5
Tuberculosis,2013,Connecticut,9,Male,35,2
Tuberculosis,2014,Connecticut,9,Female,19,1
Tuberculosis,2014,Connecticut,9,Male,41,2.3
Tuberculosis,2015,Connecticut,9,Female,28,1.5
Tuberculosis,2015,Connecticut,9,Male,42,2.4
Tuberculosis,2016,Connecticut,9,Female,26,1.4
Tuberculosis,2016,Connecticut,9,Male,26,1.5
Tuberculosis,2017,Connecticut,9,Female,26,1.4
Tuberculosis,2017,Connecticut,9,Male,37,2.1
Tuberculosis,2018,Connecticut,9,Female,13,0.7
Tuberculosis,2018,Connecticut,9,Male,38,2.2
Tuberculosis,2019,Connecticut,9,Female,30,1.6
Tuberculosis,2019,Connecticut,9,Male,37,2.1
Tuberculosis,2020 (COVID-19 Pandemic),Connecticut,9,Female,27,1.5
Tuberculosis,2020 (COVID-19 Pandemic),Connecticut,9,Male,27,1.5
Tuberculosis,2021,Connecticut,9,Female,23,1.2
Tuberculosis,2021,Connecticut,9,Male,31,1.7
Tuberculosis,2022,Connecticut,9,Female,32,1.7
Tuberculosis,2022,Connecticut,9,Male,35,2
Tuberculosis,2000,Delaware,10,Female,10,2.5
Tuberculosis,2000,Delaware,10,Male,18,4.7
Tuberculosis,2001,Delaware,10,Female,15,3.7
Tuberculosis,2001,Delaware,10,Male,18,4.7
Tuberculosis,2002,Delaware,10,Female,9,2.2
Tuberculosis,2002,Delaware,10,Male,16,4.1
Tuberculosis,2003,Delaware,10,Female,8,1.9
Tuberculosis,2003,Delaware,10,Male,24,6
Tuberculosis,2004,Delaware,10,Female,13,3
Tuberculosis,2004,Delaware,10,Male,20,5
Tuberculosis,2005,Delaware,10,Female,12,2.8
Tuberculosis,2005,Delaware,10,Male,15,3.7
Tuberculosis,2006,Delaware,10,Female,12,2.7
Tuberculosis,2006,Delaware,10,Male,17,4.1
Tuberculosis,2007,Delaware,10,Female,9,2
Tuberculosis,2007,Delaware,10,Male,10,2.4
Tuberculosis,2008,Delaware,10,Female,11,2.4
Tuberculosis,2008,Delaware,10,Male,12,2.8
Tuberculosis,2009,Delaware,10,Female,8,1.7
Tuberculosis,2009,Delaware,10,Male,11,2.5
Tuberculosis,2010,Delaware,10,Female,10,2.2
Tuberculosis,2010,Delaware,10,Male,10,2.3
Tuberculosis,2011,Delaware,10,Female,12,2.6
Tuberculosis,2011,Delaware,10,Male,9,2
Tuberculosis,2012,Delaware,10,Female,12,2.5
Tuberculosis,2012,Delaware,10,Male,16,3.6
Tuberculosis,2013,Delaware,10,Female,10,2.1
Tuberculosis,2013,Delaware,10,Male,9,2
Tuberculosis,2014,Delaware,10,Female,12,2.5
Tuberculosis,2014,Delaware,10,Male,10,2.2
Tuberculosis,2015,Delaware,10,Female,6,1.2
Tuberculosis,2015,Delaware,10,Male,16,3.5
Tuberculosis,2016,Delaware,10,Female,7,1.4
Tuberculosis,2016,Delaware,10,Male,9,2
Tuberculosis,2017,Delaware,10,Female,8,1.6
Tuberculosis,2017,Delaware,10,Male,7,1.5
Tuberculosis,2018,Delaware,10,Female,5,1
Tuberculosis,2018,Delaware,10,Male,16,3.4
Tuberculosis,2019,Delaware,10,Female,11,2.2
Tuberculosis,2019,Delaware,10,Male,8,1.7
Tuberculosis,2020 (COVID-19 Pandemic),Delaware,10,Female,9,1.8
Tuberculosis,2020 (COVID-19 Pandemic),Delaware,10,Male,8,1.7
Tuberculosis,2021,Delaware,10,Female,21,4.1
Tuberculosis,2021,Delaware,10,Male,20,4.1
Tuberculosis,2022,Delaware,10,Female,5,1
Tuberculosis,2022,Delaware,10,Male,8,1.6
Tuberculosis,2000,District of Columbia,11,Female,30,9.9
Tuberculosis,2000,District of Columbia,11,Male,55,20.4
Tuberculosis,2001,District of Columbia,11,Female,26,8.6
Tuberculosis,2001,District of Columbia,11,Male,48,17.7
Tuberculosis,2002,District of Columbia,11,Female,23,7.6
Tuberculosis,2002,District of Columbia,11,Male,59,21.9
Tuberculosis,2003,District of Columbia,11,Female,31,10.3
Tuberculosis,2003,District of Columbia,11,Male,48,17.9
Tuberculosis,2004,District of Columbia,11,Female,21,7
Tuberculosis,2004,District of Columbia,11,Male,60,22.4
Tuberculosis,2005,District of Columbia,11,Female,20,6.7
Tuberculosis,2005,District of Columbia,11,Male,35,13.1
Tuberculosis,2006,District of Columbia,11,Female,23,7.6
Tuberculosis,2006,District of Columbia,11,Male,49,18.2
Tuberculosis,2007,District of Columbia,11,Female,19,6.3
Tuberculosis,2007,District of Columbia,11,Male,40,14.7
Tuberculosis,2008,District of Columbia,11,Female,20,6.5
Tuberculosis,2008,District of Columbia,11,Male,34,12.4
Tuberculosis,2009,District of Columbia,11,Female,24,7.7
Tuberculosis,2009,District of Columbia,11,Male,17,6.1
Tuberculosis,2010,District of Columbia,11,Female,21,6.6
Tuberculosis,2010,District of Columbia,11,Male,22,7.7
Tuberculosis,2011,District of Columbia,11,Female,23,7
Tuberculosis,2011,District of Columbia,11,Male,34,11.6
Tuberculosis,2012,District of Columbia,11,Female,21,6.3
Tuberculosis,2012,District of Columbia,11,Male,17,5.6
Tuberculosis,2013,District of Columbia,11,Female,12,3.5
Tuberculosis,2013,District of Columbia,11,Male,25,8.1
Tuberculosis,2014,District of Columbia,11,Female,16,4.6
Tuberculosis,2014,District of Columbia,11,Male,16,5.1
Tuberculosis,2015,District of Columbia,11,Female,18,5.1
Tuberculosis,2015,District of Columbia,11,Male,15,4.7
Tuberculosis,2016,District of Columbia,11,Female,10,2.8
Tuberculosis,2016,District of Columbia,11,Male,15,4.6
Tuberculosis,2017,District of Columbia,11,Female,17,4.6
Tuberculosis,2017,District of Columbia,11,Male,19,5.7
Tuberculosis,2018,District of Columbia,11,Female,11,3
Tuberculosis,2018,District of Columbia,11,Male,25,7.5
Tuberculosis,2019,District of Columbia,11,Female,12,3.2
Tuberculosis,2019,District of Columbia,11,Male,12,3.6
Tuberculosis,2020 (COVID-19 Pandemic),District of Columbia,11,Female,13,3.7
Tuberculosis,2020 (COVID-19 Pandemic),District of Columbia,11,Male,6,1.9
Tuberculosis,2021,District of Columbia,11,Female,11,3.1
Tuberculosis,2021,District of Columbia,11,Male,7,2.2
Tuberculosis,2022,District of Columbia,11,Female,9,2.6
Tuberculosis,2022,District of Columbia,11,Male,6,1.9
Tuberculosis,2000,Florida,12,Female,361,4.4
Tuberculosis,2000,Florida,12,Male,803,10.3
Tuberculosis,2001,Florida,12,Female,363,4.3
Tuberculosis,2001,Florida,12,Male,775,9.7
Tuberculosis,2002,Florida,12,Female,382,4.5
Tuberculosis,2002,Florida,12,Male,702,8.6
Tuberculosis,2003,Florida,12,Female,377,4.3
Tuberculosis,2003,Florida,12,Male,664,8
Tuberculosis,2004,Florida,12,Female,363,4.1
Tuberculosis,2004,Florida,12,Male,711,8.4
Tuberculosis,2005,Florida,12,Female,387,4.2
Tuberculosis,2005,Florida,12,Male,706,8.1
Tuberculosis,2006,Florida,12,Female,351,3.8
Tuberculosis,2006,Florida,12,Male,681,7.7
Tuberculosis,2007,Florida,12,Female,377,4
Tuberculosis,2007,Florida,12,Male,611,6.8
Tuberculosis,2008,Florida,12,Female,340,3.6
Tuberculosis,2008,Florida,12,Male,617,6.8
Tuberculosis,2009,Florida,12,Female,300,3.1
Tuberculosis,2009,Florida,12,Male,522,5.7
Tuberculosis,2010,Florida,12,Female,303,3.1
Tuberculosis,2010,Florida,12,Male,525,5.7
Tuberculosis,2011,Florida,12,Female,261,2.7
Tuberculosis,2011,Florida,12,Male,490,5.3
Tuberculosis,2012,Florida,12,Female,257,2.6
Tuberculosis,2012,Florida,12,Male,418,4.4
Tuberculosis,2013,Florida,12,Female,259,2.6
Tuberculosis,2013,Florida,12,Male,387,4
Tuberculosis,2014,Florida,12,Female,220,2.2
Tuberculosis,2014,Florida,12,Male,370,3.8
Tuberculosis,2015,Florida,12,Female,231,2.2
Tuberculosis,2015,Florida,12,Male,370,3.7
Tuberculosis,2016,Florida,12,Female,260,2.5
Tuberculosis,2016,Florida,12,Male,379,3.8
Tuberculosis,2017,Florida,12,Female,207,1.9
Tuberculosis,2017,Florida,12,Male,342,3.3
Tuberculosis,2018,Florida,12,Female,228,2.1
Tuberculosis,2018,Florida,12,Male,363,3.5
Tuberculosis,2019,Florida,12,Female,196,1.8
Tuberculosis,2019,Florida,12,Male,362,3.4
Tuberculosis,2020 (COVID-19 Pandemic),Florida,12,Female,150,1.4
Tuberculosis,2020 (COVID-19 Pandemic),Florida,12,Male,262,2.5
Tuberculosis,2021,Florida,12,Female,193,1.7
Tuberculosis,2021,Florida,12,Male,307,2.9
Tuberculosis,2022,Florida,12,Female,193,1.7
Tuberculosis,2022,Florida,12,Male,342,3.1
Tuberculosis,2000,Georgia,13,Female,226,5.4
Tuberculosis,2000,Georgia,13,Male,469,11.6
Tuberculosis,2001,Georgia,13,Female,214,5
Tuberculosis,2001,Georgia,13,Male,363,8.8
Tuberculosis,2002,Georgia,13,Female,190,4.4
Tuberculosis,2002,Georgia,13,Male,345,8.3
Tuberculosis,2003,Georgia,13,Female,210,4.8
Tuberculosis,2003,Georgia,13,Male,322,7.6
Tuberculosis,2004,Georgia,13,Female,209,4.7
Tuberculosis,2004,Georgia,13,Male,328,7.6
Tuberculosis,2005,Georgia,13,Female,174,3.8
Tuberculosis,2005,Georgia,13,Male,330,7.6
Tuberculosis,2006,Georgia,13,Female,199,4.3
Tuberculosis,2006,Georgia,13,Male,306,6.8
Tuberculosis,2007,Georgia,13,Female,170,3.6
Tuberculosis,2007,Georgia,13,Male,306,6.7
Tuberculosis,2008,Georgia,13,Female,173,3.6
Tuberculosis,2008,Georgia,13,Male,303,6.5
Tuberculosis,2009,Georgia,13,Female,141,2.9
Tuberculosis,2009,Georgia,13,Male,270,5.7
Tuberculosis,2010,Georgia,13,Female,141,2.8
Tuberculosis,2010,Georgia,13,Male,270,5.7
Tuberculosis,2011,Georgia,13,Female,122,2.4
Tuberculosis,2011,Georgia,13,Male,225,4.7
Tuberculosis,2012,Georgia,13,Female,127,2.5
Tuberculosis,2012,Georgia,13,Male,231,4.8
Tuberculosis,2013,Georgia,13,Female,111,2.2
Tuberculosis,2013,Georgia,13,Male,228,4.7
Tuberculosis,2014,Georgia,13,Female,113,2.2
Tuberculosis,2014,Georgia,13,Male,221,4.5
Tuberculosis,2015,Georgia,13,Female,119,2.3
Tuberculosis,2015,Georgia,13,Male,199,4
Tuberculosis,2016,Georgia,13,Female,114,2.2
Tuberculosis,2016,Georgia,13,Male,188,3.7
Tuberculosis,2017,Georgia,13,Female,93,1.7
Tuberculosis,2017,Georgia,13,Male,200,3.9
Tuberculosis,2018,Georgia,13,Female,92,1.7
Tuberculosis,2018,Georgia,13,Male,177,3.5
Tuberculosis,2019,Georgia,13,Female,113,2.1
Tuberculosis,2019,Georgia,13,Male,189,3.7
Tuberculosis,2020 (COVID-19 Pandemic),Georgia,13,Female,66,1.2
Tuberculosis,2020 (COVID-19 Pandemic),Georgia,13,Male,154,2.9
Tuberculosis,2021,Georgia,13,Female,78,1.4
Tuberculosis,2021,Georgia,13,Male,144,2.7
Tuberculosis,2022,Georgia,13,Female,81,1.5
