Area,2020 Census,,,2010 Census,,,2000 Census,,,
North Carolina,"10,439,388",214.7,17,"9,535,483",196.1,17,"8,049,313",165.6,19,
North Dakota,"779,094",11.3,49,"672,591",9.7,49,"642,200",9.3,49,
Ohio,"11,799,448",288.8,12,"11,536,504",282.3,12,"11,353,140",277.8,11,
Oklahoma,"3,959,353",57.7,37,"3,751,351",54.7,37,"3,450,654",50.3,37,
Oregon,"4,237,256",44.1,41,"3,831,074",39.9,41,"3,421,399",35.6,41,
Pennsylvania,"13,002,700",290.6,11,"12,702,379",283.9,11,"12,281,054",274.5,12,
Rhode Island,"1,097,379","1,061.4",3,"1,052,567","1,018.1",4,"1,048,319","1,014.0",4,
South Carolina,"5,118,425",170.2,21,"4,625,364",153.9,22,"4,012,012",133.5,23,
South Dakota,"886,667",11.7,48,"814,180",10.7,48,"754,844",10.0,48,
Tennessee,"6,910,840",167.6,22,"6,346,105",153.9,21,"5,689,283",138.0,21,
Texas,"29,145,505",111.6,26,"25,145,561",96.3,28,"20,851,820",79.8,30,
Utah,"3,271,616",39.7,42,"2,763,885",33.6,43,"2,233,169",27.2,43,
Vermont,"643,077",69.8,33,"625,741",67.9,32,"608,827",66.1,32,
Virginia,"8,631,393",218.6,16,"8,001,024",202.6,16,"7,078,515",179.2,16,
Washington,"7,705,281",115.9,24,"6,724,540",101.2,27,"5,894,121",88.7,27,
West Virginia,"1,793,716",74.6,31,"1,852,994",77.1,31,"1,808,344",75.2,31,
Wisconsin,"5,893,718",108.8,27,"5,686,986",105.0,25,"5,363,675",99.0,26,
Wyoming,"576,851",5.9,51,"563,626",5.8,51,"493,782",5.1,51,
United States1,"331,449,281",93.8,X,"308,745,538",87.4,X,"281,421,906",79.7,X,
Puerto Rico,"3,285,874",959.6,4,"3,725,789","1,088.2",3,"3,808,610","1,112.4",3,
"X Not applicable.
1 Includes the resident population of the 50 states and the District of Columbia, as ascertained by the Decennial Census.
Note: Population density is a measure of the average population per square mile of land. Density rankings 1 to 52 include the District of Columbia and Puerto Rico.",,,,,,,,,,
Area,1990 Census,,,1980 Census,,,1970 Census,,,
,"Resident
Population","Population
Density","Density
Rank","Resident
Population","Population
Density","Density
Rank","Resident
Population","Population
Density","Density
Rank",
Alabama,"4,040,587",79.8,27,"3,893,888",76.9,28,"3,444,165",68.0,28,
Alaska,"550,043",1.0,52,"401,851",0.7,52,"300,382",0.5,52,
Arizona,"3,665,228",32.3,39,"2,718,215",23.9,42,"1,770,900",15.6,43,
Arkansas,"2,350,725",45.2,37,"2,286,435",43.9,37,"1,923,295",37.0,37,
California,"29,760,021",191.0,14,"23,667,902",151.9,16,"19,953,134",128.1,15,
Colorado,"3,294,394",31.8,40,"2,889,964",27.9,40,"2,207,259",21.3,41,
Connecticut,"3,287,116",678.8,6,"3,107,576",641.7,6,"3,031,709",626.1,6,
Delaware,"666,168",341.9,9,"594,338",305.0,9,"548,104",281.3,9,
District of Columbia,"606,900","9,941.3",1,"638,333","10,456.2",1,"756,510","12,392.0",1,
Florida,"12,937,926",241.3,12,"9,746,324",181.8,13,"6,789,443",126.6,16,
Georgia,"6,478,216",112.6,23,"5,463,105",95.0,24,"4,589,575",79.8,26,
Hawaii,"1,108,229",172.6,15,"964,691",150.2,17,"768,561",119.7,17,
Idaho,"1,006,749",12.2,46,"943,935",11.4,45,"712,567",8.6,47,
Illinois,"11,430,602",205.9,13,"11,426,518",205.8,12,"11,113,976",200.2,12,
Indiana,"5,544,159",154.8,18,"5,490,224",153.2,15,"5,193,669",145.0,14,
Iowa,"2,776,755",49.7,35,"2,913,808",52.2,34,"2,824,376",50.6,31,
Kansas,"2,477,574",30.3,41,"2,363,679",28.9,39,"2,246,578",27.5,39,
Kentucky,"3,685,296",93.3,25,"3,660,777",92.7,25,"3,218,706",81.5,25,
Louisiana,"4,219,973",97.7,24,"4,205,900",97.3,23,"3,641,306",84.3,22,
Maine,"1,227,928",39.8,38,"1,124,660",36.5,38,"992,048",32.2,38,
Maryland,"4,781,468",492.6,7,"4,216,975",434.4,7,"3,922,399",404.1,7,
Massachusetts,"6,016,425",771.3,5,"5,737,037",735.5,5,"5,689,170",729.4,5,
Michigan,"9,295,297",164.4,16,"9,262,078",163.8,14,"8,875,083",157.0,13,
Minnesota,"4,375,099",54.9,33,"4,075,970",51.2,35,"3,804,971",47.8,33,
Mississippi,"2,573,216",54.8,34,"2,520,638",53.7,33,"2,216,912",47.2,34,
Missouri,"5,117,073",74.4,29,"4,916,686",71.5,29,"4,676,501",68.0,28,
Montana,"799,065",5.5,50,"786,690",5.4,50,"694,409",4.8,49,
Nebraska,"1,578,385",20.5,44,"1,569,825",20.4,43,"1,483,493",19.3,42,
Nevada,"1,201,833",10.9,47,"800,493",7.3,49,"488,738",4.5,50,
New Hampshire,"1,109,252",123.9,20,"920,610",102.8,22,"737,681",82.4,23,
New Jersey,"7,730,188","1,051.1",2,"7,364,823","1,001.4",2,"7,168,164",974.7,2,
New Mexico,"1,515,069",12.5,45,"1,302,894",10.7,46,"1,016,000",8.4,48,
New York,"17,990,455",381.7,8,"17,558,072",372.6,8,"18,236,967",387.0,8,
North Carolina,"6,628,637",136.3,19,"5,881,766",121.0,19,"5,082,059",104.5,19,
North Dakota,"638,800",9.3,48,"652,717",9.5,47,"617,761",9.0,45,
Ohio,"10,847,115",265.5,11,"10,797,630",264.3,11,"10,652,017",260.7,11,
Oklahoma,"3,145,585",45.9,36,"3,025,290",44.1,36,"2,559,229",37.3,36,
Oregon,"2,842,321",29.6,42,"2,633,105",27.4,41,"2,091,385",21.8,40,
Pennsylvania,"11,881,643",265.6,10,"11,863,895",265.2,10,"11,793,909",263.6,10,
Rhode Island,"1,003,464",970.6,4,"947,154",916.2,4,"946,725",915.8,3,
South Carolina,"3,486,703",116.0,22,"3,121,820",103.9,21,"2,590,516",86.2,21,
South Dakota,"696,004",9.2,49,"690,768",9.1,48,"665,507",8.8,46,
Tennessee,"4,877,185",118.3,21,"4,591,120",111.3,20,"3,923,687",95.2,20,
Texas,"16,986,510",65.0,31,"14,229,191",54.5,32,"11,196,730",42.9,35,
Utah,"1,722,850",21.0,43,"1,461,037",17.8,44,"1,059,273",12.9,44,
Vermont,"562,758",61.1,32,"511,456",55.5,31,"444,330",48.2,32,
Virginia,"6,187,358",156.7,17,"5,346,818",135.4,18,"4,648,494",117.7,18,
Washington,"4,866,692",73.2,30,"4,132,156",62.2,30,"3,409,169",51.3,30,
West Virginia,"1,793,477",74.6,28,"1,949,644",81.1,27,"1,744,237",72.6,27,
Wisconsin,"4,891,769",90.3,26,"4,705,767",86.9,26,"4,417,731",81.6,24,
Wyoming,"453,588",4.7,51,"469,557",4.8,51,"332,416",3.4,51,
United States,"248,709,873",70.4,X,"226,545,805",64.1,X,"203,211,926",57.5,X,
Puerto Rico,"3,522,037","1,028.7",3,"3,196,520",933.6,3,"2,712,033",792.1,4,
Area,1960 Census,,,1950 Census,,,1940 Census,,,
,"Resident
Population","Population
Density","Density
Rank","Resident
Population","Population
Density","Density
Rank","Resident
Population","Population
Density","Density
Rank",
Alabama,"3,266,740",64.5,28,"3,061,743",60.5,24,"2,832,961",55.9,23,
Alaska,"226,167",0.4,52,"128,643",0.2,52,"72,524",0.1,52,
Arizona,"1,302,161",11.5,43,"749,587",6.6,47,"499,261",4.4,47,
Arkansas,"1,786,272",34.3,36,"1,909,511",36.7,34,"1,949,387",37.5,32,
California,"15,717,204",100.9,15,"10,586,223",68.0,22,"6,907,387",44.3,30,
Colorado,"1,753,947",16.9,42,"1,325,089",12.8,42,"1,123,296",10.8,42,
Connecticut,"2,535,234",523.6,6,"2,007,280",414.5,6,"1,709,242",353.0,6,
Delaware,"446,292",229.0,11,"318,085",163.2,11,"266,505",136.8,12,
District of Columbia,"763,956","12,513.9",1,"802,178","13,140.0",1,"663,091","10,861.7",1,
Florida,"4,951,560",92.3,19,"2,771,305",51.7,29,"1,897,414",35.4,33,
Georgia,"3,943,116",68.6,26,"3,444,578",59.9,27,"3,123,723",54.3,27,
Hawaii,"632,772",98.5,17,"499,794",77.8,19,"423,330",65.9,20,
Idaho,"667,191",8.1,47,"588,637",7.1,46,"524,873",6.4,46,
Illinois,"10,081,158",181.6,12,"8,712,176",156.9,12,"7,897,241",142.2,11,
Indiana,"4,662,498",130.1,14,"3,934,224",109.8,14,"3,427,796",95.7,13,
Iowa,"2,757,537",49.4,30,"2,621,073",46.9,30,"2,538,268",45.4,29,
Kansas,"2,178,611",26.6,39,"1,905,299",23.3,39,"1,801,028",22.0,39,
Kentucky,"3,038,156",76.9,23,"2,944,806",74.6,20,"2,845,627",72.1,17,
Louisiana,"3,257,022",75.4,24,"2,683,516",62.1,25,"2,363,880",54.7,26,
Maine,"969,265",31.4,38,"913,774",29.6,37,"847,226",27.5,36,
Maryland,"3,100,689",319.4,8,"2,343,001",241.4,8,"1,821,244",187.6,9,
Massachusetts,"5,148,578",660.1,5,"4,690,514",601.3,5,"4,316,721",553.4,4,
Michigan,"7,823,194",138.4,13,"6,371,766",112.7,13,"5,256,106",93.0,14,
Minnesota,"3,413,864",42.9,32,"2,982,483",37.5,33,"2,792,300",35.1,34,
Mississippi,"2,178,141",46.4,31,"2,178,914",46.4,31,"2,183,796",46.5,28,
Missouri,"4,319,813",62.8,29,"3,954,653",57.5,28,"3,784,664",55.1,24,
Montana,"674,767",4.6,49,"591,024",4.1,49,"559,456",3.8,49,
Nebraska,"1,411,330",18.4,40,"1,325,510",17.3,40,"1,315,834",17.1,40,
Nevada,"285,278",2.6,51,"160,083",1.5,51,"110,247",1.0,51,
New Hampshire,"606,921",67.8,27,"533,242",59.6,26,"491,524",54.9,25,
New Jersey,"6,066,782",824.9,3,"4,835,329",657.5,4,"4,160,165",565.7,3,
New Mexico,"951,023",7.8,48,"681,187",5.6,48,"531,818",4.4,47,
New York,"16,782,304",356.1,7,"14,830,192",314.7,7,"13,479,142",286.0,7,
North Carolina,"4,556,155",93.7,18,"4,061,929",83.5,17,"3,571,623",73.5,16,
North Dakota,"632,446",9.2,45,"619,636",9.0,43,"641,935",9.3,43,
Ohio,"9,706,397",237.5,10,"7,946,627",194.5,10,"6,907,612",169.1,10,
Oklahoma,"2,328,284",33.9,37,"2,233,351",32.6,36,"2,336,434",34.1,35,
Oregon,"1,768,687",18.4,40,"1,521,341",15.8,41,"1,089,684",11.4,41,
Pennsylvania,"11,319,366",253.0,9,"10,498,012",234.6,9,"9,900,180",221.3,8,
Rhode Island,"859,488",831.4,2,"791,896",766.0,3,"713,346",690.0,2,
South Carolina,"2,382,594",79.3,21,"2,117,027",70.4,21,"1,899,804",63.2,21,
South Dakota,"680,514",9.0,46,"652,740",8.6,44,"642,961",8.5,44,
Tennessee,"3,567,089",86.5,20,"3,291,718",79.8,18,"2,915,841",70.7,18,
Texas,"9,579,677",36.7,35,"7,711,194",29.5,38,"6,414,824",24.6,38,
Utah,"890,627",10.8,44,"688,862",8.4,45,"550,310",6.7,45,
Vermont,"389,881",42.3,34,"377,747",41.0,32,"359,231",39.0,31,
Virginia,"3,966,949",100.5,16,"3,318,680",84.0,16,"2,677,773",67.8,19,
Washington,"2,853,214",42.9,32,"2,378,963",35.8,35,"1,736,191",26.1,37,
West Virginia,"1,860,421",77.4,22,"2,005,552",83.4,15,"1,901,974",79.1,15,
Wisconsin,"3,951,777",73.0,25,"3,434,575",63.4,23,"3,137,587",57.9,22,
Wyoming,"330,066",3.4,50,"290,529",3.0,50,"250,742",2.6,50,
United States,"179,323,175",50.6,X,"151,325,798",42.6,X,"132,165,129",37.2,X,
Puerto Rico,"2,349,544",686.2,4,"2,210,703",645.7,2,"1,869,255",546.0,5,
Area,1930 Census,,,1920 Census,,,1910 Census,,,
,"Resident
Population","Population
Density","Density
Rank","Resident
Population","Population
Density","Density
Rank","Resident
Population","Population
Density","Density
Rank",
Alabama,"2,646,248",52.3,24,"2,348,174",46.4,25,"2,138,093",42.2,25,
Alaska,"59,278",0.1,52,"55,036",0.1,52,"64,356",0.1,52,
Arizona,"435,573",3.8,47,"334,162",2.9,49,"204,354",1.8,49,
Arkansas,"1,854,482",35.6,32,"1,752,204",33.7,31,"1,574,449",30.3,30,
California,"5,677,251",36.4,31,"3,426,861",22.0,35,"2,377,549",15.3,38,
Colorado,"1,035,791",10.0,41,"939,629",9.1,42,"799,024",7.7,42,
Connecticut,"1,606,903",331.8,6,"1,380,631",285.1,6,"1,114,756",230.2,6,
Delaware,"238,380",122.3,12,"223,003",114.4,12,"202,322",103.8,11,
District of Columbia,"486,869","7,975.1",1,"437,571","7,167.6",1,"331,069","5,423.1",1,
Florida,"1,468,211",27.4,35,"968,470",18.1,38,"752,619",14.0,40,
Georgia,"2,908,506",50.6,26,"2,895,832",50.4,21,"2,609,121",45.4,23,
Hawaii,"368,336",57.3,21,"255,912",39.8,28,"191,909",29.9,31,
Idaho,"445,032",5.4,46,"431,866",5.2,46,"325,594",3.9,46,
Illinois,"7,630,654",137.4,11,"6,485,280",116.8,11,"5,638,591",101.6,12,
Indiana,"3,238,503",90.4,13,"2,930,390",81.8,13,"2,700,876",75.4,13,
Iowa,"2,470,939",44.2,28,"2,404,021",43.0,26,"2,224,771",39.8,26,
Kansas,"1,880,999",23.0,38,"1,769,257",21.6,36,"1,690,949",20.7,35,
Kentucky,"2,614,589",66.2,16,"2,416,630",61.2,15,"2,289,905",58.0,14,
Louisiana,"2,101,593",48.6,27,"1,798,509",41.6,27,"1,656,388",38.3,29,
Maine,"797,423",25.9,36,"768,014",24.9,34,"742,371",24.1,33,
Maryland,"1,631,526",168.1,9,"1,449,661",149.3,9,"1,295,346",133.4,9,
Massachusetts,"4,249,614",544.8,4,"3,852,356",493.9,3,"3,366,416",431.6,3,
Michigan,"4,842,325",85.6,14,"3,668,412",64.9,14,"2,810,173",49.7,19,
Minnesota,"2,563,953",32.2,34,"2,387,125",30.0,32,"2,075,708",26.1,32,
Mississippi,"2,009,821",42.8,29,"1,790,618",38.2,29,"1,797,114",38.3,28,
Missouri,"3,629,367",52.8,23,"3,404,055",49.5,22,"3,293,335",47.9,21,
Montana,"537,606",3.7,48,"548,889",3.8,47,"376,053",2.6,48,
Nebraska,"1,377,963",17.9,40,"1,296,372",16.9,40,"1,192,214",15.5,37,
Nevada,"91,058",0.8,51,"77,407",0.7,51,"81,875",0.7,51,
New Hampshire,"465,293",52.0,25,"443,083",49.5,22,"430,572",48.1,20,
New Jersey,"4,041,334",549.5,3,"3,155,900",429.1,4,"2,537,167",345.0,4,
New Mexico,"423,317",3.5,49,"360,350",3.0,48,"327,301",2.7,47,
New York,"12,588,066",267.1,7,"10,385,227",220.4,7,"9,113,614",193.4,7,
North Carolina,"3,170,276",65.2,17,"2,559,123",52.6,20,"2,206,287",45.4,22,
North Dakota,"680,845",9.9,42,"646,872",9.4,41,"577,056",8.4,41,
Ohio,"6,646,697",162.7,10,"5,759,394",141.0,10,"4,767,121",116.7,10,
Oklahoma,"2,396,040",34.9,33,"2,028,283",29.6,33,"1,657,155",24.2,33,
Oregon,"953,786",9.9,42,"783,389",8.2,44,"672,765",7.0,44,
Pennsylvania,"9,631,350",215.3,8,"8,720,017",194.9,8,"7,665,111",171.3,8,
Rhode Island,"687,497",665.0,2,"604,397",584.6,2,"542,610",524.9,2,
South Carolina,"1,738,765",57.8,20,"1,683,724",56.0,19,"1,515,400",50.4,18,
South Dakota,"692,849",9.1,44,"636,547",8.4,43,"583,888",7.7,42,
Tennessee,"2,616,556",63.5,18,"2,337,885",56.7,18,"2,184,789",53.0,15,
Texas,"5,824,715",22.3,39,"4,663,228",17.9,39,"3,896,542",14.9,39,
Utah,"507,847",6.2,45,"449,396",5.5,45,"373,351",4.5,45,
Vermont,"359,611",39.0,30,"352,428",38.2,30,"355,956",38.6,27,
Virginia,"2,421,851",61.3,19,"2,309,187",58.5,17,"2,061,612",52.2,16,
Washington,"1,563,396",23.5,37,"1,356,621",20.4,37,"1,141,990",17.2,36,
West Virginia,"1,729,205",71.9,15,"1,463,701",60.9,15,"1,221,119",50.8,17,
Wisconsin,"2,939,006",54.3,22,"2,632,067",48.6,24,"2,333,860",43.1,24,
Wyoming,"225,565",2.3,50,"194,402",2.0,50,"145,965",1.5,50,
United States,"123,202,660",34.7,X,"106,021,568",29.9,X,"92,228,531",26.0,X,
Puerto Rico,"1,543,913",450.9,5,"1,299,809",379.6,5,"1,118,012",326.5,5,
