Indicator,Year,Geography,FIPS,Country of birth,Cases,Rate per 100000
Tuberculosis,2005,Alaska,2,U.S.-born,42,Data not available
Tuberculosis,2006,Alaska,2,Non-U.S.–born,12,Data not available
Tuberculosis,2006,Alaska,2,U.S.-born,58,Data not available
Tuberculosis,2007,Alaska,2,Non-U.S.–born,8,Data not available
Tuberculosis,2007,Alaska,2,U.S.-born,42,Data not available
Tuberculosis,2008,Alaska,2,Non-U.S.–born,12,Data not available
Tuberculosis,2008,Alaska,2,U.S.-born,38,Data not available
Tuberculosis,2009,Alaska,2,Non-U.S.–born,9,Data not available
Tuberculosis,2009,Alaska,2,U.S.-born,28,Data not available
Tuberculosis,2010,Alaska,2,Non-U.S.–born,8,Data not available
Tuberculosis,2010,Alaska,2,U.S.-born,49,Data not available
Tuberculosis,2011,Alaska,2,Non-U.S.–born,15,Data not available
Tuberculosis,2011,Alaska,2,U.S.-born,52,Data not available
Tuberculosis,2012,Alaska,2,Non-U.S.–born,10,Data not available
Tuberculosis,2012,Alaska,2,U.S.-born,55,Data not available
Tuberculosis,2013,Alaska,2,Non-U.S.–born,15,Data not available
Tuberculosis,2013,Alaska,2,U.S.-born,56,Data not available
Tuberculosis,2014,Alaska,2,Non-U.S.–born,12,Data not available
Tuberculosis,2014,Alaska,2,U.S.-born,50,Data not available
Tuberculosis,2015,Alaska,2,Non-U.S.–born,8,Data not available
Tuberculosis,2015,Alaska,2,U.S.-born,60,Data not available
Tuberculosis,2016,Alaska,2,Non-U.S.–born,11,Data not available
Tuberculosis,2016,Alaska,2,U.S.-born,46,Data not available
Tuberculosis,2017,Alaska,2,Non-U.S.–born,15,Data not available
Tuberculosis,2017,Alaska,2,U.S.-born,38,Data not available
Tuberculosis,2018,Alaska,2,Non-U.S.–born,14,Data not available
Tuberculosis,2018,Alaska,2,U.S.-born,49,Data not available
Tuberculosis,2019,Alaska,2,Non-U.S.–born,15,Data not available
Tuberculosis,2019,Alaska,2,U.S.-born,43,Data not available
Tuberculosis,2020 (COVID-19 Pandemic),Alaska,2,Non-U.S.–born,14,Data not available
Tuberculosis,2020 (COVID-19 Pandemic),Alaska,2,U.S.-born,44,Data not available
Tuberculosis,2021,Alaska,2,Non-U.S.–born,14,Data not available
Tuberculosis,2021,Alaska,2,U.S.-born,44,Data not available
Tuberculosis,2022,Alaska,2,Non-U.S.–born,10,Data not available
Tuberculosis,2022,Alaska,2,U.S.-born,85,Data not available
Tuberculosis,2000,Arizona,4,Non-U.S.–born,148,Data not available
Tuberculosis,2000,Arizona,4,U.S.-born,112,Data not available
Tuberculosis,2001,Arizona,4,Non-U.S.–born,134,Data not available
Tuberculosis,2001,Arizona,4,U.S.-born,153,Data not available
Tuberculosis,2002,Arizona,4,Non-U.S.–born,138,Data not available
Tuberculosis,2002,Arizona,4,U.S.-born,125,Data not available
Tuberculosis,2003,Arizona,4,Non-U.S.–born,172,Data not available
Tuberculosis,2003,Arizona,4,U.S.-born,121,Data not available
Tuberculosis,2004,Arizona,4,Non-U.S.–born,156,Data not available
Tuberculosis,2004,Arizona,4,U.S.-born,115,Data not available
Tuberculosis,2005,Arizona,4,Non-U.S.–born,170,Data not available
Tuberculosis,2005,Arizona,4,U.S.-born,108,Data not available
Tuberculosis,2006,Arizona,4,Non-U.S.–born,182,Data not available
Tuberculosis,2006,Arizona,4,U.S.-born,127,Data not available
Tuberculosis,2007,Arizona,4,Non-U.S.–born,186,Data not available
Tuberculosis,2007,Arizona,4,U.S.-born,113,Data not available
Tuberculosis,2008,Arizona,4,Non-U.S.–born,148,Data not available
Tuberculosis,2008,Arizona,4,U.S.-born,79,Data not available
Tuberculosis,2009,Arizona,4,Non-U.S.–born,154,Data not available
Tuberculosis,2009,Arizona,4,U.S.-born,78,Data not available
Tuberculosis,2010,Arizona,4,Non-U.S.–born,182,Data not available
Tuberculosis,2010,Arizona,4,U.S.-born,98,Data not available
Tuberculosis,2011,Arizona,4,Non-U.S.–born,169,Data not available
Tuberculosis,2011,Arizona,4,U.S.-born,86,Data not available
Tuberculosis,2012,Arizona,4,Non-U.S.–born,150,Data not available
Tuberculosis,2012,Arizona,4,U.S.-born,61,Data not available
Tuberculosis,2013,Arizona,4,Non-U.S.–born,136,Data not available
Tuberculosis,2013,Arizona,4,U.S.-born,48,Data not available
Tuberculosis,2014,Arizona,4,Non-U.S.–born,146,Data not available
Tuberculosis,2014,Arizona,4,U.S.-born,47,Data not available
Tuberculosis,2015,Arizona,4,Non-U.S.–born,141,Data not available
Tuberculosis,2015,Arizona,4,U.S.-born,57,Data not available
Tuberculosis,2016,Arizona,4,Non-U.S.–born,132,Data not available
Tuberculosis,2016,Arizona,4,U.S.-born,56,Data not available
Tuberculosis,2017,Arizona,4,Non-U.S.–born,133,Data not available
Tuberculosis,2017,Arizona,4,U.S.-born,55,Data not available
Tuberculosis,2018,Arizona,4,Non-U.S.–born,127,Data not available
Tuberculosis,2018,Arizona,4,U.S.-born,51,Data not available
Tuberculosis,2019,Arizona,4,Non-U.S.–born,126,Data not available
Tuberculosis,2019,Arizona,4,U.S.-born,57,Data not available
Tuberculosis,2020 (COVID-19 Pandemic),Arizona,4,Non-U.S.–born,92,Data not available
Tuberculosis,2020 (COVID-19 Pandemic),Arizona,4,U.S.-born,44,Data not available
Tuberculosis,2021,Arizona,4,Non-U.S.–born,86,Data not available
Tuberculosis,2021,Arizona,4,U.S.-born,42,Data not available
Tuberculosis,2022,Arizona,4,Non-U.S.–born,114,Data not available
Tuberculosis,2022,Arizona,4,U.S.-born,38,Data not available
Tuberculosis,2000,Arkansas,5,Non-U.S.–born,31,Data not available
Tuberculosis,2000,Arkansas,5,U.S.-born,165,Data not available
Tuberculosis,2001,Arkansas,5,Non-U.S.–born,28,Data not available
Tuberculosis,2001,Arkansas,5,U.S.-born,134,Data not available
Tuberculosis,2002,Arkansas,5,Non-U.S.–born,20,Data not available
Tuberculosis,2002,Arkansas,5,U.S.-born,116,Data not available
Tuberculosis,2003,Arkansas,5,Non-U.S.–born,24,Data not available
Tuberculosis,2003,Arkansas,5,U.S.-born,104,Data not available
Tuberculosis,2004,Arkansas,5,Non-U.S.–born,48,Data not available
Tuberculosis,2004,Arkansas,5,U.S.-born,86,Data not available
Tuberculosis,2005,Arkansas,5,Non-U.S.–born,34,Data not available
Tuberculosis,2005,Arkansas,5,U.S.-born,83,Data not available
Tuberculosis,2006,Arkansas,5,Non-U.S.–born,32,Data not available
Tuberculosis,2006,Arkansas,5,U.S.-born,70,Data not available
Tuberculosis,2007,Arkansas,5,Non-U.S.–born,31,Data not available
Tuberculosis,2007,Arkansas,5,U.S.-born,75,Data not available
Tuberculosis,2008,Arkansas,5,Non-U.S.–born,19,Data not available
Tuberculosis,2008,Arkansas,5,U.S.-born,64,Data not available
Tuberculosis,2009,Arkansas,5,Non-U.S.–born,21,Data not available
Tuberculosis,2009,Arkansas,5,U.S.-born,61,Data not available
Tuberculosis,2010,Arkansas,5,Non-U.S.–born,22,Data not available
Tuberculosis,2010,Arkansas,5,U.S.-born,56,Data not available
Tuberculosis,2011,Arkansas,5,Non-U.S.–born,24,Data not available
Tuberculosis,2011,Arkansas,5,U.S.-born,61,Data not available
Tuberculosis,2012,Arkansas,5,Non-U.S.–born,22,Data not available
Tuberculosis,2012,Arkansas,5,U.S.-born,48,Data not available
Tuberculosis,2013,Arkansas,5,Non-U.S.–born,23,Data not available
Tuberculosis,2013,Arkansas,5,U.S.-born,49,Data not available
Tuberculosis,2014,Arkansas,5,Non-U.S.–born,32,Data not available
Tuberculosis,2014,Arkansas,5,U.S.-born,61,Data not available
Tuberculosis,2015,Arkansas,5,Non-U.S.–born,26,Data not available
Tuberculosis,2015,Arkansas,5,U.S.-born,64,Data not available
Tuberculosis,2016,Arkansas,5,Non-U.S.–born,40,Data not available
Tuberculosis,2016,Arkansas,5,U.S.-born,51,Data not available
Tuberculosis,2017,Arkansas,5,Non-U.S.–born,31,Data not available
Tuberculosis,2017,Arkansas,5,U.S.-born,54,Data not available
Tuberculosis,2018,Arkansas,5,Non-U.S.–born,24,Data not available
Tuberculosis,2018,Arkansas,5,U.S.-born,52,Data not available
Tuberculosis,2019,Arkansas,5,Non-U.S.–born,20,Data not available
Tuberculosis,2019,Arkansas,5,U.S.-born,44,Data not available
Tuberculosis,2020 (COVID-19 Pandemic),Arkansas,5,Non-U.S.–born,21,Data not available
Tuberculosis,2020 (COVID-19 Pandemic),Arkansas,5,U.S.-born,38,Data not available
Tuberculosis,2021,Arkansas,5,Non-U.S.–born,29,Data not available
Tuberculosis,2021,Arkansas,5,U.S.-born,40,Data not available
Tuberculosis,2022,Arkansas,5,Non-U.S.–born,30,Data not available
Tuberculosis,2022,Arkansas,5,U.S.-born,38,Data not available
Tuberculosis,2000,California,6,Non-U.S.–born,"2,369",Data not available
Tuberculosis,2000,California,6,U.S.-born,904,Data not available
Tuberculosis,2001,California,6,Non-U.S.–born,"2,473",Data not available
Tuberculosis,2001,California,6,U.S.-born,837,Data not available
Tuberculosis,2002,California,6,Non-U.S.–born,"2,391",Data not available
Tuberculosis,2002,California,6,U.S.-born,762,Data not available
Tuberculosis,2003,California,6,Non-U.S.–born,"2,414",Data not available
Tuberculosis,2003,California,6,U.S.-born,783,Data not available
Tuberculosis,2004,California,6,Non-U.S.–born,"2,258",Data not available
Tuberculosis,2004,California,6,U.S.-born,720,Data not available
Tuberculosis,2005,California,6,Non-U.S.–born,"2,228",Data not available
Tuberculosis,2005,California,6,U.S.-born,653,Data not available
Tuberculosis,2006,California,6,Non-U.S.–born,"2,128",Data not available
Tuberculosis,2006,California,6,U.S.-born,636,Data not available
Tuberculosis,2007,California,6,Non-U.S.–born,"2,106",Data not available
Tuberculosis,2007,California,6,U.S.-born,597,Data not available
Tuberculosis,2008,California,6,Non-U.S.–born,"2,019",Data not available
Tuberculosis,2008,California,6,U.S.-born,670,Data not available
Tuberculosis,2009,California,6,Non-U.S.–born,"1,867",Data not available
Tuberculosis,2009,California,6,U.S.-born,582,Data not available
Tuberculosis,2010,California,6,Non-U.S.–born,"1,824",Data not available
Tuberculosis,2010,California,6,U.S.-born,495,Data not available
Tuberculosis,2011,California,6,Non-U.S.–born,"1,803",Data not available
Tuberculosis,2011,California,6,U.S.-born,513,Data not available
Tuberculosis,2012,California,6,Non-U.S.–born,"1,721",Data not available
Tuberculosis,2012,California,6,U.S.-born,463,Data not available
Tuberculosis,2013,California,6,Non-U.S.–born,"1,697",Data not available
Tuberculosis,2013,California,6,U.S.-born,463,Data not available
Tuberculosis,2014,California,6,Non-U.S.–born,"1,669",Data not available
Tuberculosis,2014,California,6,U.S.-born,457,Data not available
Tuberculosis,2015,California,6,Non-U.S.–born,"1,722",Data not available
Tuberculosis,2015,California,6,U.S.-born,404,Data not available
Tuberculosis,2016,California,6,Non-U.S.–born,"1,670",Data not available
Tuberculosis,2016,California,6,U.S.-born,384,Data not available
Tuberculosis,2017,California,6,Non-U.S.–born,"1,685",Data not available
Tuberculosis,2017,California,6,U.S.-born,367,Data not available
Tuberculosis,2018,California,6,Non-U.S.–born,"1,735",Data not available
Tuberculosis,2018,California,6,U.S.-born,360,Data not available
Tuberculosis,2019,California,6,Non-U.S.–born,"1,729",Data not available
Tuberculosis,2019,California,6,U.S.-born,375,Data not available
Tuberculosis,2020 (COVID-19 Pandemic),California,6,Non-U.S.–born,"1,421",Data not available
Tuberculosis,2020 (COVID-19 Pandemic),California,6,U.S.-born,275,Data not available
Tuberculosis,2021,California,6,Non-U.S.–born,"1,426",Data not available
Tuberculosis,2021,California,6,U.S.-born,308,Data not available
Tuberculosis,2022,California,6,Non-U.S.–born,"1,521",Data not available
Tuberculosis,2022,California,6,U.S.-born,317,Data not available
Tuberculosis,2000,Colorado,8,Non-U.S.–born,59,Data not available
Tuberculosis,2000,Colorado,8,U.S.-born,38,Data not available
Tuberculosis,2001,Colorado,8,Non-U.S.–born,85,Data not available
Tuberculosis,2001,Colorado,8,U.S.-born,53,Data not available
Tuberculosis,2002,Colorado,8,Non-U.S.–born,72,Data not available
Tuberculosis,2002,Colorado,8,U.S.-born,31,Data not available
Tuberculosis,2003,Colorado,8,Non-U.S.–born,77,Data not available
Tuberculosis,2003,Colorado,8,U.S.-born,34,Data not available
Tuberculosis,2004,Colorado,8,Non-U.S.–born,87,Data not available
Tuberculosis,2004,Colorado,8,U.S.-born,41,Data not available
Tuberculosis,2005,Colorado,8,Non-U.S.–born,59,Data not available
Tuberculosis,2005,Colorado,8,U.S.-born,42,Data not available
Tuberculosis,2006,Colorado,8,Non-U.S.–born,83,Data not available
Tuberculosis,2006,Colorado,8,U.S.-born,41,Data not available
Tuberculosis,2007,Colorado,8,Non-U.S.–born,78,Data not available
Tuberculosis,2007,Colorado,8,U.S.-born,33,Data not available
Tuberculosis,2008,Colorado,8,Non-U.S.–born,73,Data not available
Tuberculosis,2008,Colorado,8,U.S.-born,30,Data not available
Tuberculosis,2009,Colorado,8,Non-U.S.–born,60,Data not available
Tuberculosis,2009,Colorado,8,U.S.-born,25,Data not available
Tuberculosis,2010,Colorado,8,Non-U.S.–born,54,Data not available
Tuberculosis,2010,Colorado,8,U.S.-born,17,Data not available
Tuberculosis,2011,Colorado,8,Non-U.S.–born,49,Data not available
Tuberculosis,2011,Colorado,8,U.S.-born,21,Data not available
Tuberculosis,2012,Colorado,8,Non-U.S.–born,45,Data not available
Tuberculosis,2012,Colorado,8,U.S.-born,19,Data not available
Tuberculosis,2013,Colorado,8,Non-U.S.–born,59,Data not available
Tuberculosis,2013,Colorado,8,U.S.-born,15,Data not available
Tuberculosis,2014,Colorado,8,Non-U.S.–born,55,Data not available
Tuberculosis,2014,Colorado,8,U.S.-born,9,Data not available
Tuberculosis,2015,Colorado,8,Non-U.S.–born,58,Data not available
Tuberculosis,2015,Colorado,8,U.S.-born,15,Data not available
Tuberculosis,2016,Colorado,8,Non-U.S.–born,47,Data not available
Tuberculosis,2016,Colorado,8,U.S.-born,17,Data not available
Tuberculosis,2017,Colorado,8,Non-U.S.–born,64,Data not available
Tuberculosis,2017,Colorado,8,U.S.-born,20,Data not available
Tuberculosis,2018,Colorado,8,Non-U.S.–born,50,Data not available
Tuberculosis,2018,Colorado,8,U.S.-born,14,Data not available
Tuberculosis,2019,Colorado,8,Non-U.S.–born,55,Data not available
Tuberculosis,2019,Colorado,8,U.S.-born,11,Data not available
Tuberculosis,2020 (COVID-19 Pandemic),Colorado,8,Non-U.S.–born,40,Data not available
Tuberculosis,2020 (COVID-19 Pandemic),Colorado,8,U.S.-born,11,Data not available
Tuberculosis,2021,Colorado,8,Non-U.S.–born,46,Data not available
Tuberculosis,2021,Colorado,8,U.S.-born,12,Data not available
Tuberculosis,2022,Colorado,8,Non-U.S.–born,51,Data not available
Tuberculosis,2022,Colorado,8,U.S.-born,6,Data not available
Tuberculosis,2000,Connecticut,9,Non-U.S.–born,61,Data not available
Tuberculosis,2000,Connecticut,9,U.S.-born,44,Data not available
Tuberculosis,2001,Connecticut,9,Non-U.S.–born,67,Data not available
Tuberculosis,2001,Connecticut,9,U.S.-born,52,Data not available
Tuberculosis,2002,Connecticut,9,Non-U.S.–born,65,Data not available
Tuberculosis,2002,Connecticut,9,U.S.-born,40,Data not available
Tuberculosis,2003,Connecticut,9,Non-U.S.–born,80,Data not available
Tuberculosis,2003,Connecticut,9,U.S.-born,31,Data not available
Tuberculosis,2004,Connecticut,9,Non-U.S.–born,68,Data not available
Tuberculosis,2004,Connecticut,9,U.S.-born,33,Data not available
Tuberculosis,2005,Connecticut,9,Non-U.S.–born,63,Data not available
Tuberculosis,2005,Connecticut,9,U.S.-born,33,Data not available
Tuberculosis,2006,Connecticut,9,Non-U.S.–born,53,Data not available
Tuberculosis,2006,Connecticut,9,U.S.-born,36,Data not available
Tuberculosis,2007,Connecticut,9,Non-U.S.–born,75,Data not available
Tuberculosis,2007,Connecticut,9,U.S.-born,32,Data not available
Tuberculosis,2008,Connecticut,9,Non-U.S.–born,76,Data not available
Tuberculosis,2008,Connecticut,9,U.S.-born,22,Data not available
Tuberculosis,2009,Connecticut,9,Non-U.S.–born,72,Data not available
Tuberculosis,2009,Connecticut,9,U.S.-born,23,Data not available
Tuberculosis,2010,Connecticut,9,Non-U.S.–born,66,Data not available
Tuberculosis,2010,Connecticut,9,U.S.-born,19,Data not available
Tuberculosis,2011,Connecticut,9,Non-U.S.–born,65,Data not available
Tuberculosis,2011,Connecticut,9,U.S.-born,18,Data not available
Tuberculosis,2012,Connecticut,9,Non-U.S.–born,61,Data not available
Tuberculosis,2012,Connecticut,9,U.S.-born,13,Data not available
Tuberculosis,2013,Connecticut,9,Non-U.S.–born,48,Data not available
Tuberculosis,2013,Connecticut,9,U.S.-born,14,Data not available
Tuberculosis,2014,Connecticut,9,Non-U.S.–born,46,Data not available
Tuberculosis,2014,Connecticut,9,U.S.-born,14,Data not available
Tuberculosis,2015,Connecticut,9,Non-U.S.–born,56,Data not available
Tuberculosis,2015,Connecticut,9,U.S.-born,14,Data not available
Tuberculosis,2016,Connecticut,9,Non-U.S.–born,44,Data not available
Tuberculosis,2016,Connecticut,9,U.S.-born,8,Data not available
Tuberculosis,2017,Connecticut,9,Non-U.S.–born,51,Data not available
Tuberculosis,2017,Connecticut,9,U.S.-born,12,Data not available
Tuberculosis,2018,Connecticut,9,Non-U.S.–born,38,Data not available
Tuberculosis,2018,Connecticut,9,U.S.-born,13,Data not available
Tuberculosis,2019,Connecticut,9,Non-U.S.–born,56,Data not available
Tuberculosis,2019,Connecticut,9,U.S.-born,11,Data not available
Tuberculosis,2020 (COVID-19 Pandemic),Connecticut,9,Non-U.S.–born,44,Data not available
Tuberculosis,2020 (COVID-19 Pandemic),Connecticut,9,U.S.-born,10,Data not available
Tuberculosis,2021,Connecticut,9,Non-U.S.–born,42,Data not available
Tuberculosis,2021,Connecticut,9,U.S.-born,12,Data not available
Tuberculosis,2022,Connecticut,9,Non-U.S.–born,55,Data not available
Tuberculosis,2022,Connecticut,9,U.S.-born,12,Data not available
Tuberculosis,2000,Delaware,10,Non-U.S.–born,19,Data not available
Tuberculosis,2000,Delaware,10,U.S.-born,9,Data not available
Tuberculosis,2001,Delaware,10,Non-U.S.–born,20,Data not available
Tuberculosis,2001,Delaware,10,U.S.-born,13,Data not available
Tuberculosis,2002,Delaware,10,Non-U.S.–born,12,Data not available
Tuberculosis,2002,Delaware,10,U.S.-born,13,Data not available
Tuberculosis,2003,Delaware,10,Non-U.S.–born,18,Data not available
Tuberculosis,2003,Delaware,10,U.S.-born,14,Data not available
Tuberculosis,2004,Delaware,10,Non-U.S.–born,15,Data not available
Tuberculosis,2004,Delaware,10,U.S.-born,18,Data not available
Tuberculosis,2005,Delaware,10,Non-U.S.–born,18,Data not available
Tuberculosis,2005,Delaware,10,U.S.-born,9,Data not available
Tuberculosis,2006,Delaware,10,Non-U.S.–born,14,Data not available
Tuberculosis,2006,Delaware,10,U.S.-born,15,Data not available
Tuberculosis,2007,Delaware,10,Non-U.S.–born,17,Data not available
Tuberculosis,2007,Delaware,10,U.S.-born,2,Data not available
Tuberculosis,2008,Delaware,10,Non-U.S.–born,15,Data not available
Tuberculosis,2008,Delaware,10,U.S.-born,8,Data not available
Tuberculosis,2009,Delaware,10,Non-U.S.–born,12,Data not available
Tuberculosis,2009,Delaware,10,U.S.-born,7,Data not available
Tuberculosis,2010,Delaware,10,Non-U.S.–born,15,Data not available
Tuberculosis,2010,Delaware,10,U.S.-born,5,Data not available
Tuberculosis,2011,Delaware,10,Non-U.S.–born,16,Data not available
Tuberculosis,2011,Delaware,10,U.S.-born,5,Data not available
Tuberculosis,2012,Delaware,10,Non-U.S.–born,18,Data not available
Tuberculosis,2012,Delaware,10,U.S.-born,10,Data not available
Tuberculosis,2013,Delaware,10,Non-U.S.–born,10,Data not available
Tuberculosis,2013,Delaware,10,U.S.-born,9,Data not available
Tuberculosis,2014,Delaware,10,Non-U.S.–born,15,Data not available
Tuberculosis,2014,Delaware,10,U.S.-born,7,Data not available
Tuberculosis,2015,Delaware,10,Non-U.S.–born,15,Data not available
Tuberculosis,2015,Delaware,10,U.S.-born,7,Data not available
Tuberculosis,2016,Delaware,10,Non-U.S.–born,11,Data not available
Tuberculosis,2016,Delaware,10,U.S.-born,5,Data not available
Tuberculosis,2017,Delaware,10,Non-U.S.–born,6,Data not available
Tuberculosis,2017,Delaware,10,U.S.-born,9,Data not available
Tuberculosis,2018,Delaware,10,Non-U.S.–born,13,Data not available
Tuberculosis,2018,Delaware,10,U.S.-born,8,Data not available
Tuberculosis,2019,Delaware,10,Non-U.S.–born,9,Data not available
Tuberculosis,2019,Delaware,10,U.S.-born,10,Data not available
Tuberculosis,2020 (COVID-19 Pandemic),Delaware,10,Non-U.S.–born,10,Data not available
Tuberculosis,2020 (COVID-19 Pandemic),Delaware,10,U.S.-born,7,Data not available
Tuberculosis,2021,Delaware,10,Non-U.S.–born,9,Data not available
Tuberculosis,2021,Delaware,10,U.S.-born,31,Data not available
Tuberculosis,2022,Delaware,10,Non-U.S.–born,10,Data not available
Tuberculosis,2022,Delaware,10,U.S.-born,3,Data not available
Tuberculosis,2000,District of Columbia,11,Non-U.S.–born,25,Data not available
Tuberculosis,2000,District of Columbia,11,U.S.-born,60,Data not available
Tuberculosis,2001,District of Columbia,11,Non-U.S.–born,27,Data not available
Tuberculosis,2001,District of Columbia,11,U.S.-born,47,Data not available
Tuberculosis,2002,District of Columbia,11,Non-U.S.–born,28,Data not available
Tuberculosis,2002,District of Columbia,11,U.S.-born,54,Data not available
Tuberculosis,2003,District of Columbia,11,Non-U.S.–born,23,Data not available
Tuberculosis,2003,District of Columbia,11,U.S.-born,56,Data not available
Tuberculosis,2004,District of Columbia,11,Non-U.S.–born,29,Data not available
Tuberculosis,2004,District of Columbia,11,U.S.-born,52,Data not available
Tuberculosis,2005,District of Columbia,11,Non-U.S.–born,25,Data not available
Tuberculosis,2005,District of Columbia,11,U.S.-born,29,Data not available
Tuberculosis,2006,District of Columbia,11,Non-U.S.–born,33,Data not available
Tuberculosis,2006,District of Columbia,11,U.S.-born,39,Data not available
Tuberculosis,2007,District of Columbia,11,Non-U.S.–born,30,Data not available
Tuberculosis,2007,District of Columbia,11,U.S.-born,29,Data not available
Tuberculosis,2008,District of Columbia,11,Non-U.S.–born,30,Data not available
Tuberculosis,2008,District of Columbia,11,U.S.-born,24,Data not available
Tuberculosis,2009,District of Columbia,11,Non-U.S.–born,19,Data not available
Tuberculosis,2009,District of Columbia,11,U.S.-born,22,Data not available
Tuberculosis,2010,District of Columbia,11,Non-U.S.–born,27,Data not available
Tuberculosis,2010,District of Columbia,11,U.S.-born,16,Data not available
Tuberculosis,2011,District of Columbia,11,Non-U.S.–born,31,Data not available
Tuberculosis,2011,District of Columbia,11,U.S.-born,26,Data not available
Tuberculosis,2012,District of Columbia,11,Non-U.S.–born,20,Data not available
Tuberculosis,2012,District of Columbia,11,U.S.-born,18,Data not available
Tuberculosis,2013,District of Columbia,11,Non-U.S.–born,25,Data not available
Tuberculosis,2013,District of Columbia,11,U.S.-born,12,Data not available
Tuberculosis,2014,District of Columbia,11,Non-U.S.–born,17,Data not available
Tuberculosis,2014,District of Columbia,11,U.S.-born,15,Data not available
Tuberculosis,2015,District of Columbia,11,Non-U.S.–born,18,Data not available
Tuberculosis,2015,District of Columbia,11,U.S.-born,15,Data not available
Tuberculosis,2016,District of Columbia,11,Non-U.S.–born,17,Data not available
Tuberculosis,2016,District of Columbia,11,U.S.-born,8,Data not available
Tuberculosis,2017,District of Columbia,11,Non-U.S.–born,24,Data not available
Tuberculosis,2017,District of Columbia,11,U.S.-born,12,Data not available
Tuberculosis,2018,District of Columbia,11,Non-U.S.–born,28,Data not available
Tuberculosis,2018,District of Columbia,11,U.S.-born,8,Data not available
